t,action,reward,is_change,is_press,L1_spatial_rms,L2_spatial_rms,L3_spatial_rms,L1_softmax_ent,L2_softmax_ent,L3_softmax_ent
0,0,0.0,0,0,0.34572064876556396,0.5726198554039001,0.5206560492515564,4.1446532317301887e-10,6.355134196667223e-10,1.4096532368057524e-06
1,0,0.0,0,0,0.26875969767570496,0.5246109366416931,0.5660978555679321,4.1446532317301887e-10,6.355134196667223e-10,0.00027279500500299037
2,0,0.0,0,0,0.2605459690093994,0.5190655589103699,0.5604376792907715,4.1446532317301887e-10,6.355134196667223e-10,2.712728201004211e-05
3,0,0.0,0,0,0.26998665928840637,0.5163594484329224,0.5675721764564514,4.1446532317301887e-10,6.355134196667223e-10,2.5312043362646364e-05
4,0,0.0,0,0,0.27629685401916504,0.5165084600448608,0.5674999356269836,4.1446532317301887e-10,6.355134196667223e-10,4.016865568701178e-05
5,0,0.0,0,0,0.2715889811515808,0.5158644318580627,0.5662943720817566,4.1446532317301887e-10,6.355134196667223e-10,6.895958358654752e-05
6,0,0.0,0,0,0.2668642997741699,0.5147026181221008,0.5649938583374023,4.1446532317301887e-10,6.355134196667223e-10,8.115117816487327e-05
7,0,0.0,0,0,0.2599097788333893,0.5130471587181091,0.5629534721374512,4.1446532317301887e-10,6.355134196667223e-10,9.557224257150665e-05
8,0,0.0,0,0,0.25114795565605164,0.509631335735321,0.5615942478179932,4.1446532317301887e-10,6.355134196667223e-10,0.00013831858814228326
9,0,0.0,0,0,0.20219026505947113,0.5122667551040649,0.5635108947753906,4.1446532317301887e-10,6.355134196667223e-10,0.00010690000635804608
10,0,0.0,0,0,0.19950173795223236,0.5099390149116516,0.5620986819267273,4.1446532317301887e-10,6.355134196667223e-10,0.00012174608855275437
11,0,0.0,0,0,0.2011265605688095,0.5088925361633301,0.562226414680481,4.1446532317301887e-10,6.355134196667223e-10,0.00011641009768936783
12,0,0.0,0,0,0.18692560493946075,0.5081924796104431,0.5609612464904785,4.1446532317301887e-10,6.355134196667223e-10,0.00021445935999508947
13,0,0.0,0,0,0.1769709289073944,0.507621169090271,0.5616238117218018,4.1446532317301887e-10,6.355134196667223e-10,0.00012041594891343266
14,0,0.0,0,0,0.1794518381357193,0.506242036819458,0.5616554617881775,4.1446532317301887e-10,6.355134196667223e-10,9.927828068612143e-05
15,0,0.0,1,0,0.17124003171920776,0.4988572299480438,0.5595108866691589,4.1446532317301887e-10,6.355134196667223e-10,6.644333916483447e-05
16,1,5.0,0,1,0.14553949236869812,0.49602124094963074,0.536145806312561,4.1446532317301887e-10,6.355134196667223e-10,0.0006166615057736635
