t,action,reward,is_change,is_press,spatial_rms_L1,spatial_rms_L2,spatial_rms_L3,softmax_entropy_L1,softmax_entropy_L2,softmax_entropy_L3
0,0,0.0,0,0,0.29977288842201233,0.5889887809753418,0.5197977423667908,4.1446532317301887e-10,6.355134196667223e-10,4.824272537007346e-08
1,0,0.0,0,0,0.27407512068748474,0.5554811358451843,0.5551947951316833,4.1446532317301887e-10,6.355134196667223e-10,0.00013736567052546889
2,0,0.0,0,0,0.266941100358963,0.5521496534347534,0.5479708313941956,4.1446532317301887e-10,6.355134196667223e-10,4.448717163541005e-07
3,0,0.0,0,0,0.27604392170906067,0.5486009120941162,0.5502282977104187,4.1446532317301887e-10,6.355134196667223e-10,0.000679888529703021
4,0,0.0,0,0,0.24091599881649017,0.5519142150878906,0.5502662658691406,4.1446532317301887e-10,6.355134196667223e-10,0.0008220555610023439
5,0,0.0,0,0,0.2153398096561432,0.5510738492012024,0.5453288555145264,4.1446532317301887e-10,6.355134196667223e-10,0.0005893270135857165
6,0,0.0,0,0,0.20117716491222382,0.5509335994720459,0.5437365174293518,4.1446532317301887e-10,6.355134196667223e-10,0.0007245535380207002
7,0,0.0,0,0,0.18440227210521698,0.5502078533172607,0.5391516089439392,4.1446532317301887e-10,6.355134196667223e-10,0.0004805245844181627
8,0,0.0,0,0,0.19385041296482086,0.5486515164375305,0.5371098518371582,4.1446532317301887e-10,6.355134196667223e-10,0.0001964440889423713
9,0,0.0,0,0,0.19100694358348846,0.5487567782402039,0.5352389812469482,4.1446532317301887e-10,6.355134196667223e-10,0.0001778083824319765
10,0,0.0,0,0,0.19002088904380798,0.5485222935676575,0.5337109565734863,4.1446532317301887e-10,6.355134196667223e-10,0.00011850157898152247
11,0,0.0,0,0,0.19291318953037262,0.5488855838775635,0.5341388583183289,4.1446532317301887e-10,6.355134196667223e-10,0.00011795273894676939
12,0,0.0,0,0,0.1922997236251831,0.5479527115821838,0.5328128933906555,4.1446532317301887e-10,6.355134196667223e-10,0.00013219568063504994
13,0,0.0,0,0,0.19183498620986938,0.5479899644851685,0.5341923236846924,4.1446532317301887e-10,6.355134196667223e-10,0.00012806322774849832
14,0,0.0,0,0,0.19068379700183868,0.5462927222251892,0.5295365452766418,4.1446532317301887e-10,6.355134196667223e-10,0.0001523601677035913
15,0,0.0,0,0,0.19657710194587708,0.549325168132782,0.5311079025268555,4.1446532317301887e-10,6.355134196667223e-10,0.0001563837140565738
16,0,0.0,0,0,0.1922447234392166,0.5469989776611328,0.5306295156478882,4.1446532317301887e-10,6.355134196667223e-10,0.00011145773169118911
17,0,0.0,0,0,0.19319717586040497,0.547470211982727,0.5324466228485107,4.1446532317301887e-10,6.355134196667223e-10,0.00018598444876261055
18,0,0.0,0,0,0.19427771866321564,0.546276330947876,0.5327327251434326,4.1446532317301887e-10,6.355134196667223e-10,0.0001576027279952541
19,0,0.0,0,0,0.19149057567119598,0.5463578104972839,0.5327978730201721,4.1446532317301887e-10,6.355134196667223e-10,0.0001752038369886577
20,0,0.0,1,0,0.19205360114574432,0.5448447465896606,0.5291550755500793,4.1446532317301887e-10,6.355134196667223e-10,0.0002349840651731938
21,1,3.0,0,1,0.1965964138507843,0.5398379564285278,0.46550917625427246,4.1446532317301887e-10,6.355134196667223e-10,1.062840461730957
