model                          Δ  HRcue  HRunc    FA  d′cue  d′unc    Δd′  crit_c
sensitivity_crossattn1        12   0.46   0.13  0.03   1.74   0.72   1.02    0.98
sensitivity_crossattn1        18   0.84   0.33  0.04   2.71   1.26   1.46    0.34
sensitivity_crossattn1        26   0.99   0.75  0.03   4.25   2.59   1.66   -0.20
sensitivity_affine_ew         12   0.42   0.13  0.03   1.64   0.71   0.93    1.03
sensitivity_affine_ew         18   0.79   0.39  0.02   2.91   1.83   1.09    0.65
sensitivity_affine_ew         26   0.99   0.89  0.04   4.39   3.01   1.38   -0.38
criterion_crossattn1          12   0.50   0.42  0.16   0.99   0.81   0.19    0.50
criterion_crossattn1          18   0.84   0.76  0.17   1.96   1.63   0.32   -0.04
criterion_crossattn1          26   0.98   0.95  0.15   3.20   2.70   0.50   -0.57
criterion_affine_ew           12   0.53   0.29  0.17   1.04   0.41   0.63    0.45
criterion_affine_ew           18   0.78   0.57  0.18   1.65   1.07   0.59    0.07
criterion_affine_ew           26   0.96   0.86  0.16   2.81   2.10   0.71   -0.41
[luo] saved -> /Users/jonathanmorgan/AttentionManuscript/RViT_plus_paper_jepa_conv/luo_analysis/figs/luo_repro.npz
