proportion,cond,mag,n,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
0.25,valid,2.0,250,0.024,0.009679669415842671,10.5,2.2961334427845213,0.0
0.25,valid,5.0,250,0.076,0.01675995226723513,10.0,0.9299093690146479,0.0
0.25,valid,9.0,250,0.26,0.027741665415039526,9.0,0.5568120724018961,0.0
0.25,valid,14.0,250,0.552,0.03145129568078237,5.0,0.34557540065734854,0.0
0.25,valid,20.0,250,0.732,0.028012568607680376,3.0,0.2674788272534774,0.0
0.25,valid,30.0,250,0.848,0.022706474847496695,2.0,0.23242853734466828,0.0
0.25,valid,44.0,250,0.888,0.0199455258140767,2.0,0.2680305227028687,0.0
0.25,valid,64.0,250,0.884,0.020252802275240827,1.0,0.19519843108122092,0.0
0.25,invalid,2.0,250,0.016,0.007935741931287836,10.0,1.558772087097168,0.004
0.25,invalid,5.0,250,0.052,0.014042222046385677,9.0,1.3873228721666149,0.0
0.25,invalid,9.0,250,0.244,0.02716350492848815,9.0,0.6488764174863481,0.0
0.25,invalid,14.0,250,0.556,0.03142381262673261,5.0,0.33873680669272305,0.0
0.25,invalid,20.0,250,0.696,0.02909185453009141,3.0,0.2665275734127075,0.004
0.25,invalid,30.0,250,0.824,0.024085182166635157,2.0,0.2147266377509821,0.0
0.25,invalid,44.0,250,0.828,0.023867634989667496,2.0,0.210405639596369,0.0
0.25,invalid,64.0,250,0.828,0.023867634989667496,2.0,0.1862216760759684,0.0
0.5,valid,2.0,250,0.028,0.010433791257256396,9.0,1.5342266486187242,0.0
0.5,valid,5.0,250,0.044,0.012971353052014273,9.0,1.4982050853308058,0.0
0.5,valid,9.0,250,0.232,0.02669651662670619,8.0,0.5694245810110254,0.0
0.5,valid,14.0,250,0.548,0.031476721557366805,6.0,0.36503612681345216,0.004
0.5,valid,20.0,250,0.672,0.029692827416734836,3.0,0.2819607113845314,0.0
0.5,valid,30.0,250,0.808,0.02491072058371656,2.0,0.1799540722267704,0.0
0.5,valid,44.0,250,0.82,0.024298148077579906,2.0,0.23261469992775338,0.0
0.5,valid,64.0,250,0.852,0.022458495051984228,2.0,0.17003733188293552,0.0
0.5,invalid,2.0,250,0.028,0.010433791257256396,9.0,1.9449033149613577,0.0
