proportion,cond,mag,n,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
0.25,valid,2.0,250,0.028,0.010433791257256396,10.0,1.6576145439191108,0.0
0.25,valid,5.0,250,0.096,0.018631586083852337,4.0,0.8234101160037144,0.004
0.25,valid,9.0,250,0.3,0.028982753492378877,4.0,0.40843365123765035,0.004
0.25,valid,14.0,250,0.748,0.027458769091130066,3.0,0.24289533086209927,0.008
0.25,valid,20.0,250,0.992,0.005634181395730885,2.0,0.10978870123324846,0.0
0.25,valid,30.0,250,1.0,0.0,2.0,0.04319621324329063,0.0
0.25,valid,44.0,250,0.996,0.003991991983959889,1.0,0.03887826880126303,0.004
0.25,valid,64.0,250,0.992,0.005634181395730885,2.0,0.0671720965481601,0.0
0.25,invalid,2.0,250,0.032,0.011131217363792696,9.0,1.8134993181737815,0.008
0.25,invalid,5.0,250,0.044,0.012971353052014273,5.0,1.6857541210705096,0.0
0.25,invalid,9.0,250,0.18,0.024298148077579906,5.0,0.6855623738022808,0.004
0.25,invalid,14.0,250,0.656,0.030044234055805117,4.0,0.24428043323834947,0.008
0.25,invalid,20.0,250,0.98,0.008854377448471465,3.0,0.12307028396443413,0.0
0.25,invalid,30.0,250,0.988,0.006886508549330352,2.0,0.04669046174829144,0.012
0.25,invalid,44.0,250,0.996,0.003991991983959889,2.0,0.03951166382311407,0.004
0.25,invalid,64.0,250,0.984,0.00793574193128784,2.0,0.08229162090149486,0.004
0.5,valid,2.0,250,0.036,0.011782020200288235,7.0,1.8204110463460286,0.004
0.5,valid,5.0,250,0.06,0.01501998668441487,5.0,1.2824823825429643,0.004
0.5,valid,9.0,250,0.34,0.029959973297718406,4.0,0.441924620051324,0.004
0.5,valid,14.0,250,0.756,0.02716350492848815,3.0,0.19018053657436085,0.0
0.5,valid,20.0,250,0.992,0.005634181395730885,2.0,0.11124234457837202,0.004
0.5,valid,30.0,250,1.0,0.0,2.0,0.042454432411447834,0.0
0.5,valid,44.0,250,1.0,0.0,1.0,0.03953631932732541,0.0
0.5,valid,64.0,250,0.996,0.003991991983959889,2.0,0.06600846037778434,0.004
0.5,invalid,2.0,250,0.044,0.012971353052014273,7.0,1.1558172578211294,0.008
0.5,invalid,5.0,250,0.048,0.01351976331153767,6.0,1.2777218799963312,0.0
0.5,invalid,9.0,250,0.22,0.026199236630100504,5.0,0.5332062448140414,0.004
0.5,invalid,14.0,250,0.624,0.030634882079094088,4.0,0.278081937236664,0.008
0.5,invalid,20.0,250,0.956,0.012971353052014278,3.0,0.10999452070193326,0.0
0.5,invalid,30.0,250,0.996,0.003991991983959889,2.0,0.04467920928045047,0.004
0.5,invalid,44.0,250,1.0,0.0,2.0,0.03958713904036568,0.0
0.5,invalid,64.0,250,0.988,0.006886508549330352,2.0,0.08669645829342211,0.0
0.75,valid,2.0,250,0.044,0.012971353052014273,5.0,1.2386187515150817,0.008
0.75,valid,5.0,250,0.08,0.017158088471621775,4.5,0.9523224399262085,0.004
0.75,valid,9.0,250,0.284,0.028519747544464694,4.0,0.4161041027346406,0.008
0.75,valid,14.0,250,0.736,0.027878593938719363,3.0,0.216571982848552,0.004
0.75,valid,20.0,250,0.984,0.00793574193128784,2.0,0.10267880204527796,0.0
0.75,valid,30.0,250,0.996,0.003991991983959889,2.0,0.04526516908338268,0.004
0.75,valid,44.0,250,0.996,0.003991991983959889,1.0,0.037765830194945914,0.004
0.75,valid,64.0,250,0.98,0.008854377448471465,2.0,0.05828364980355215,0.008
0.75,invalid,2.0,250,0.044,0.012971353052014273,6.0,1.7657628473024836,0.0
0.75,invalid,5.0,250,0.056,0.014541526742402257,7.0,1.3737965355593778,0.004
0.75,invalid,9.0,250,0.224,0.02636846601529941,5.0,0.46837661614524556,0.008
0.75,invalid,14.0,250,0.6,0.030983866769659335,4.0,0.23375428207651786,0.004
0.75,invalid,20.0,250,0.952,0.013519763311537675,2.0,0.08648556009490599,0.008
0.75,invalid,30.0,250,0.996,0.003991991983959889,2.0,0.05290748220906239,0.004
0.75,invalid,44.0,250,0.992,0.005634181395730885,2.0,0.040301469185757145,0.008
0.75,invalid,64.0,250,0.988,0.006886508549330352,2.0,0.09022093063865551,0.0
1.0,valid,2.0,250,0.016,0.007935741931287836,6.5,1.950432300567627,0.0
1.0,valid,5.0,250,0.084,0.01754354582175451,8.0,1.1116566355081678,0.016
1.0,valid,9.0,250,0.308,0.029198356118110485,4.0,0.4079331817252451,0.0
1.0,valid,14.0,250,0.776,0.026368466015299408,3.0,0.20127359125718966,0.004
1.0,valid,20.0,250,0.976,0.009679669415842676,2.0,0.1076165845885739,0.0
1.0,valid,30.0,250,1.0,0.0,2.0,0.04396207887200415,0.0
1.0,valid,44.0,250,1.0,0.0,1.0,0.037402634016194404,0.0
1.0,valid,64.0,250,0.98,0.008854377448471465,2.0,0.06546155665474186,0.008
1.0,invalid,2.0,250,0.024,0.009679669415842671,10.5,2.6256225828136754,0.0
1.0,invalid,5.0,250,0.084,0.01754354582175451,6.0,0.9782337152754049,0.004
1.0,invalid,9.0,250,0.248,0.02731270766511442,5.5,0.5017964534015474,0.004
1.0,invalid,14.0,250,0.568,0.03132896423439498,4.0,0.2704324022830981,0.0
1.0,invalid,20.0,250,0.944,0.014541526742402262,3.0,0.11486695904389468,0.012
1.0,invalid,30.0,250,1.0,0.0,2.0,0.04202604797776561,0.0
1.0,invalid,44.0,250,0.996,0.003991991983959889,2.0,0.03964276981240011,0.004
1.0,invalid,64.0,250,0.984,0.00793574193128784,2.0,0.05752650989607026,0.004
