condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,200,8,0.04,0.013856406460551017,5.5,1.5026538349387788,0.025
valid,5.0,,,,200,11,0.055,0.016120638945153507,4.0,1.1629426607451645,0.025
valid,9.0,,,,200,30,0.15,0.025248762345905194,3.0,0.5387408546155249,0.025
valid,14.0,,,,200,51,0.255,0.030820042180373472,1.0,0.42883030054785515,0.015
valid,20.0,,,,200,105,0.525,0.035311117229563836,0.0,0.34246677188196967,0.0
valid,30.0,,,,200,178,0.89,0.022124646889837583,0.0,0.11121928664854713,0.03
valid,44.0,,,,200,195,0.975,0.011039701082909813,0.0,0.006410677953822978,0.025
valid,64.0,,,,200,187,0.935,0.01743201078476031,0.0,0.046737992880303364,0.035
invalid,2.0,,,,200,8,0.04,0.013856406460551017,7.5,1.4485986472622228,0.005
invalid,5.0,,,,200,14,0.07,0.01804161855266872,5.5,1.2507853699537173,0.04
invalid,9.0,,,,200,18,0.09,0.02023610634484806,5.0,1.1265459236375874,0.01
invalid,14.0,,,,200,30,0.15,0.025248762345905194,1.0,0.9547590479614796,0.03
invalid,20.0,,,,200,72,0.36,0.03394112549695428,0.0,0.34629657431456706,0.04
invalid,30.0,,,,200,169,0.845,0.02559052559053839,0.0,0.07918095588684082,0.005
invalid,44.0,,,,200,181,0.905,0.02073342711661533,0.0,0.038134964602496775,0.055
invalid,64.0,,,,200,181,0.905,0.02073342711661533,0.0,0.06933484087726471,0.02
