condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,256,7,0.02734375,0.010192688352123096,11.0,0.5899494163452375,0.0
valid,5.0,,,,256,28,0.109375,0.019506820659607595,8.5,0.7842253852466747,0.0
valid,9.0,,,,256,115,0.44921875,0.031088411265823138,7.0,0.38815053761166124,0.0
valid,14.0,,,,256,215,0.83984375,0.022921931500095458,4.0,0.23941597965058317,0.0
valid,20.0,,,,256,253,0.98828125,0.006726063141580034,2.0,0.14387781597491534,0.0
valid,30.0,,,,256,256,1.0,0.0,1.0,0.04238809272646904,0.0
valid,44.0,,,,256,256,1.0,0.0,1.0,0.03903032839298248,0.0
valid,64.0,,,,256,256,1.0,0.0,1.0,0.058531299233436584,0.0
invalid,2.0,,,,256,4,0.015625,0.007751224544134543,8.5,2.1018478870391846,0.0
invalid,5.0,,,,256,21,0.08203125,0.017150770302425275,10.0,1.0249712051902795,0.0
invalid,9.0,,,,256,73,0.28515625,0.0282180518383967,7.0,0.5135473668319752,0.0
invalid,14.0,,,,256,180,0.703125,0.02855506155705751,5.0,0.3100569215249349,0.00390625
invalid,20.0,,,,256,244,0.953125,0.013210692635223323,2.0,0.1747153643353117,0.0
invalid,30.0,,,,256,254,0.9921875,0.005502650229289377,1.0,0.09115152325765576,0.0
invalid,44.0,,,,256,256,1.0,0.0,1.0,0.0384308286011219,0.0
invalid,64.0,,,,256,255,0.99609375,0.003898613140300613,1.0,0.060591852907635704,0.0
