condition,mag,validity,color,value,n,n_hits,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
valid,2.0,,,,256,13,0.05078125,0.013721919430074605,8.0,1.0335114261764022,0.0
valid,5.0,,,,256,38,0.1484375,0.02222082080660694,8.0,0.6392902906191762,0.0
valid,9.0,,,,256,119,0.46484375,0.031172656668516294,6.0,0.3738414992236331,0.0
valid,14.0,,,,256,231,0.90234375,0.01855308124215169,4.0,0.20955825423828037,0.0
valid,20.0,,,,256,256,1.0,0.0,3.0,0.10838785022497177,0.0
valid,30.0,,,,256,256,1.0,0.0,2.0,0.08425498008728027,0.0
valid,44.0,,,,256,256,1.0,0.0,2.0,0.06228507682681084,0.0
valid,64.0,,,,256,251,0.98046875,0.008648920695272632,2.0,0.09154472635939764,0.0
invalid,2.0,,,,256,6,0.0234375,0.009455525747576701,8.5,1.1816225127438476,0.0
invalid,5.0,,,,256,29,0.11328125,0.019808517777875165,10.0,0.6608043083667916,0.0
invalid,9.0,,,,256,73,0.28515625,0.0282180518383967,6.0,0.42056929622241174,0.0
invalid,14.0,,,,256,187,0.73046875,0.027732268777308236,5.0,0.2613360953868523,0.0
invalid,20.0,,,,256,251,0.98046875,0.008648920695272632,3.0,0.1359357257502735,0.0
invalid,30.0,,,,256,253,0.98828125,0.006726063141580034,2.0,0.09441509746260057,0.0
invalid,44.0,,,,256,256,1.0,0.0,2.0,0.06216093897819519,0.0
invalid,64.0,,,,256,252,0.984375,0.007751224544134543,3.0,0.1094078955339531,0.0
