condition	hit	FA	detect	Δdetect	premature	press	median_rt	Vadv
blind_all	0.664	0.051	+0.613	+0.012	0.000	0.664	6.0	-0.166
open_change_only	0.645	0.094	+0.551	-0.051	0.000	0.645	6.0	-0.151
open_change_pm1	0.727	0.062	+0.664	+0.062	0.000	0.727	6.0	-0.144
open_change_pm2	0.707	0.086	+0.621	+0.020	0.000	0.707	7.0	-0.140
open_cue_change	0.672	0.059	+0.613	+0.012	0.000	0.672	7.0	-0.295
open_from_change	0.609	0.090	+0.520	-0.082	0.000	0.609	6.0	-0.151
open_until_change	0.746	0.051	+0.695	+0.094	0.000	0.746	6.0	-0.299
closed_cue_only	0.613	0.012	+0.602	+0.000	0.000	0.613	7.0	-0.159
freeze_at_change	0.504	0.016	+0.488	-0.113	0.000	0.504	7.0	-0.307
freeze_full	0.074	0.074	+0.000	-0.602	0.000	0.074	5.0	-0.334
keys_S1_only	0.723	0.039	+0.684	+0.082	0.000	0.723	7.0	-0.317
keys_not_S1	0.637	0.027	+0.609	+0.008	0.000	0.637	6.0	-0.155
queries_S1_only	0.715	0.043	+0.672	+0.070	0.000	0.715	7.0	-0.176
queries_not_S1	0.637	0.027	+0.609	+0.008	0.000	0.637	7.0	-0.298
zero_H0	0.668	0.031	+0.637	+0.035	0.000	0.668	6.0	-0.297
zero_H1	0.629	0.027	+0.602	+0.000	0.000	0.629	6.0	-0.294
zero_H2	0.590	0.027	+0.562	-0.039	0.000	0.590	5.0	-0.294
zero_H3	0.562	0.020	+0.543	-0.059	0.000	0.562	7.0	-0.243
zero_H4	0.617	0.027	+0.590	-0.012	0.000	0.617	6.0	-0.292
zero_H5	0.652	0.027	+0.625	+0.023	0.000	0.652	6.0	-0.303
zero_H6	0.629	0.027	+0.602	+0.000	0.000	0.629	6.0	-0.294
zero_H7	0.684	0.023	+0.660	+0.059	0.000	0.684	6.0	-0.297
only_H0	0.660	0.047	+0.613	+0.012	0.000	0.660	7.0	-0.163
