metric,model,condition,logical_index,mean,standard_error,trials
temporal_motion,standard,valid,1,0.9641503096,0,4
temporal_motion,standard,valid,2,0.9663848877,0,4
temporal_motion,standard,valid,3,0.6642530859,0.001559612674,4
temporal_motion,standard,valid,4,0.1390590947,0.007325404531,4
temporal_motion,standard,valid,5,0.07632906269,0.01371250698,4
temporal_motion,standard,valid,6,0.2838367354,0.09035536548,4
temporal_motion,standard,forced_invalid,1,0.9641503096,0,4
temporal_motion,standard,forced_invalid,2,0.9663848877,0,4
temporal_motion,standard,forced_invalid,3,0.6642530859,0.001559612674,4
temporal_motion,standard,forced_invalid,4,0.1390590947,0.007325404531,4
temporal_motion,standard,forced_invalid,5,0.06947590318,0.01252583155,4
temporal_motion,standard,forced_invalid,6,0.3877441995,0.07240935264,4
temporal_motion,high_decay,valid,1,0.9530088902,0,4
temporal_motion,high_decay,valid,2,0.9527955651,0,4
temporal_motion,high_decay,valid,3,0.05379640125,0.003912209933,4
temporal_motion,high_decay,valid,4,0.1222299505,0.01650631004,4
temporal_motion,high_decay,valid,5,0.09303870797,0.01005620933,4
temporal_motion,high_decay,valid,6,0.4324168861,0.1412996745,4
temporal_motion,high_decay,forced_invalid,1,0.9530088902,0,4
temporal_motion,high_decay,forced_invalid,2,0.9527955651,0,4
temporal_motion,high_decay,forced_invalid,3,0.05379640125,0.003912209933,4
temporal_motion,high_decay,forced_invalid,4,0.1222299505,0.01650631004,4
temporal_motion,high_decay,forced_invalid,5,0.1118853241,0.0114532204,4
temporal_motion,high_decay,forced_invalid,6,0.3497662097,0.1007185238,4
selectivity,standard,valid,0,0.3319604397,0,4
selectivity,standard,valid,1,0.8094543219,0,4
selectivity,standard,valid,2,0.7845857143,0,4
selectivity,standard,valid,3,0.1262802836,0.004340436589,4
selectivity,standard,valid,4,0.2343858592,0.00178573736,4
selectivity,standard,valid,5,0.2625471279,0.009516230749,4
selectivity,standard,valid,6,0.4774745107,0.1112935526,4
selectivity,standard,forced_invalid,0,0.3319604397,0,4
selectivity,standard,forced_invalid,1,0.8094543219,0,4
selectivity,standard,forced_invalid,2,0.7845857143,0,4
selectivity,standard,forced_invalid,3,0.1262802836,0.004340436589,4
selectivity,standard,forced_invalid,4,0.2343858592,0.00178573736,4
selectivity,standard,forced_invalid,5,0.2537899613,0.009533318651,4
selectivity,standard,forced_invalid,6,0.4248479307,0.06551276232,4
selectivity,high_decay,valid,0,0.3322825432,0,4
selectivity,high_decay,valid,1,0.8945057988,0,4
selectivity,high_decay,valid,2,0.3308103979,0,4
selectivity,high_decay,valid,3,0.3037749082,0.007540950588,4
selectivity,high_decay,valid,4,0.3373419642,0.01141001246,4
selectivity,high_decay,valid,5,0.3422700837,0.005494558091,4
selectivity,high_decay,valid,6,0.6618758738,0.1400769538,4
selectivity,high_decay,forced_invalid,0,0.3322825432,0,4
selectivity,high_decay,forced_invalid,1,0.8945057988,0,4
selectivity,high_decay,forced_invalid,2,0.3308103979,0,4
selectivity,high_decay,forced_invalid,3,0.3037749082,0.007540950588,4
selectivity,high_decay,forced_invalid,4,0.3373419642,0.01141001246,4
selectivity,high_decay,forced_invalid,5,0.3474030569,0.005945614862,4
selectivity,high_decay,forced_invalid,6,0.5106346458,0.08985915884,4
image_mass,standard,valid,0,0.0003151822311,0,4
image_mass,standard,valid,1,0.964302361,0,4
image_mass,standard,valid,2,0.0007949225837,0,4
image_mass,standard,valid,3,0.1590447836,0.006005974719,4
image_mass,standard,valid,4,0.06936218403,0.002634005467,4
image_mass,standard,valid,5,0.05202183127,0.001583522252,4
image_mass,standard,valid,6,0.02953467122,0.01068456564,4
image_mass,standard,forced_invalid,0,0.0003151822311,0,4
image_mass,standard,forced_invalid,1,0.964302361,0,4
image_mass,standard,forced_invalid,2,0.0007949225837,0,4
image_mass,standard,forced_invalid,3,0.1590447836,0.006005974719,4
image_mass,standard,forced_invalid,4,0.06936218403,0.002634005467,4
image_mass,standard,forced_invalid,5,0.05799212679,0.002278092189,4
image_mass,standard,forced_invalid,6,0.02949655429,0.004964599546,4
image_mass,high_decay,valid,0,0.0002337111146,2.182787284e-11,4
image_mass,high_decay,valid,1,0.9531260133,0,4
image_mass,high_decay,valid,2,0.0006621541543,4.365574569e-11,4
image_mass,high_decay,valid,3,0.01785548707,0.005086426873,4
image_mass,high_decay,valid,4,0.007267184206,0.002397884935,4
image_mass,high_decay,valid,5,0.00526554836,0.001409959244,4
image_mass,high_decay,valid,6,0.002334580271,0.001286225273,4
image_mass,high_decay,forced_invalid,0,0.0002337111146,2.182787284e-11,4
image_mass,high_decay,forced_invalid,1,0.9531260133,0,4
image_mass,high_decay,forced_invalid,2,0.0006621541543,4.365574569e-11,4
image_mass,high_decay,forced_invalid,3,0.01785548707,0.005086426873,4
image_mass,high_decay,forced_invalid,4,0.007267184206,0.002397884935,4
image_mass,high_decay,forced_invalid,5,0.006532081054,0.000166580825,4
image_mass,high_decay,forced_invalid,6,0.005008524487,0.001849244606,4
memory_mass,standard,valid,0,0.9996848702,0,4
memory_mass,standard,valid,1,0.03569767252,0,4
memory_mass,standard,valid,2,0.9992050529,0,4
memory_mass,standard,valid,3,0.8409551978,0.00600597054,4
memory_mass,standard,valid,4,0.9306377918,0.002634006177,4
memory_mass,standard,valid,5,0.9479781836,0.001583508668,4
memory_mass,standard,valid,6,0.9704653174,0.01068456252,4
memory_mass,standard,forced_invalid,0,0.9996848702,0,4
memory_mass,standard,forced_invalid,1,0.03569767252,0,4
memory_mass,standard,forced_invalid,2,0.9992050529,0,4
memory_mass,standard,forced_invalid,3,0.8409551978,0.00600597054,4
memory_mass,standard,forced_invalid,4,0.9306377918,0.002634006177,4
memory_mass,standard,forced_invalid,5,0.9420078546,0.002278084729,4
memory_mass,standard,forced_invalid,6,0.9705034345,0.004964594475,4
memory_mass,high_decay,valid,0,0.9997662306,0,4
memory_mass,high_decay,valid,1,0.04687403981,9.313225746e-10,4
memory_mass,high_decay,valid,2,0.999337852,0,4
memory_mass,high_decay,valid,3,0.9821445048,0.005086421764,4
memory_mass,high_decay,valid,4,0.9927328229,0.002397894471,4
memory_mass,high_decay,valid,5,0.9947344512,0.001409956876,4
memory_mass,high_decay,valid,6,0.9976654202,0.001286221403,4
memory_mass,high_decay,forced_invalid,0,0.9997662306,0,4
