metric,standard_mean,high_decay_mean,high_minus_standard,paired_ci_low,paired_ci_high,paired_n,bootstrap_samples,bootstrap_seed
primary_event_attention_motion,0.5237567214,0.4292307285,-0.09452599287,-0.1166696241,-0.0646963624,4,10000,7200
event_selectivity,0.4279994834,0.4471153489,0.0191158655,0.008052582719,0.03701593966,4,10000,7237
event_peak_key_mass,0.4973774845,0.4446025134,-0.05277497108,-0.07028505898,-0.03642245861,4,10000,7274
event_image_key_mass,0.1826202893,0.1412449881,-0.04137530119,-0.04290557989,-0.03944284318,4,10000,7311
nochange_attention_motion,0.4819152852,0.3948446232,-0.08707066199,-0.09130496532,-0.08283635865,2,10000,7348
cue_orienting_t1_minus_t0,0.5087388158,0.6911450624,0.1824062467,0.1824062467,0.1824062467,2,10000,7385
valid_attention_motion,0.5156688627,0.4345477335,-0.08112112914,-0.1083089927,-0.06019201207,4,10000,7422
valid_change_reorientation_t5_minus_t4,0.01684558392,0.01800975949,0.00116417557,-0.08645957708,0.06777551025,4,10000,7459
valid_qualifying_response,0.5,0.75,0.25,0,0.75,4,10000,7496
forced_invalid_attention_motion,0.5318445801,0.4239137235,-0.1079308566,-0.1426010051,-0.06280352905,4,10000,7533
forced_invalid_change_reorientation_t5_minus_t4,-0.008337143809,-0.007876191288,0.0004609525204,-0.02836035192,0.02271583676,4,10000,7570
forced_invalid_qualifying_response,0.5,0.75,0.25,0,0.75,4,10000,7607
