model,memory_decay,displayed_validity,orientation_change_degrees,condition,response_count,trials,response_rate,wilson_ci_low,wilson_ci_high
standard,1.0,0.25,0.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.25,0.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.25,3.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.25,3.0,forced_invalid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,0.25,6.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.25,6.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.25,9.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.25,9.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.25,12.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.25,12.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.25,15.0,valid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,0.25,15.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.25,18.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.25,18.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.25,22.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.25,22.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.25,26.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.25,26.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.25,30.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.25,30.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.5,0.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.5,0.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.5,3.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.5,3.0,forced_invalid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,0.5,6.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.5,6.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.5,9.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.5,9.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.5,12.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.5,12.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.5,15.0,valid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,0.5,15.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.5,18.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.5,18.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.5,22.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.5,22.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.5,26.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.5,26.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.5,30.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.5,30.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.75,0.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.75,0.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.75,3.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.75,3.0,forced_invalid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,0.75,6.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.75,6.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.75,9.0,valid,0,3,0,0,0.5615060804
standard,1.0,0.75,9.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.75,12.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.75,12.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,0.75,15.0,valid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,0.75,15.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.75,18.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.75,18.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,0.75,22.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.75,22.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.75,26.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.75,26.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,0.75,30.0,valid,3,3,1,0.4384939196,1
standard,1.0,0.75,30.0,forced_invalid,3,3,1,0.4384939196,1
standard,1.0,1.0,0.0,valid,0,3,0,0,0.5615060804
standard,1.0,1.0,0.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,1.0,3.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,1.0,3.0,forced_invalid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,1.0,6.0,valid,0,3,0,0,0.5615060804
standard,1.0,1.0,6.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,1.0,9.0,valid,0,3,0,0,0.5615060804
standard,1.0,1.0,9.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,1.0,12.0,valid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,1.0,12.0,forced_invalid,0,3,0,0,0.5615060804
standard,1.0,1.0,15.0,valid,2,3,0.6666666667,0.2076549551,0.9385096847
standard,1.0,1.0,15.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
standard,1.0,1.0,18.0,valid,3,3,1,0.4384939196,1
standard,1.0,1.0,18.0,forced_invalid,1,3,0.3333333333,0.06149031528,0.7923450449
