metric,model,condition,logical_index,mean,standard_error,trials
temporal_motion,standard,valid,1,0.9641503096,0,256
temporal_motion,standard,valid,2,0.9663848875,2.328306437e-10,256
temporal_motion,standard,valid,3,0.6646906026,0.0002802588487,256
temporal_motion,standard,valid,4,0.1502119853,0.002347324107,256
temporal_motion,standard,valid,5,0.07947756544,0.001965483559,256
temporal_motion,standard,valid,6,0.3443424306,0.01098467856,256
temporal_motion,standard,forced_invalid,1,0.9641503096,0,256
temporal_motion,standard,forced_invalid,2,0.9663848875,2.328306437e-10,256
temporal_motion,standard,forced_invalid,3,0.6646906026,0.0002802588487,256
temporal_motion,standard,forced_invalid,4,0.1502119853,0.002347324107,256
temporal_motion,standard,forced_invalid,5,0.08063170688,0.001975828027,256
temporal_motion,standard,forced_invalid,6,0.2980786704,0.0106725038,256
temporal_motion,high_decay,valid,1,0.9530088902,0,256
temporal_motion,high_decay,valid,2,0.9527955651,0,256
temporal_motion,high_decay,valid,3,0.05175151077,0.0005297302208,256
temporal_motion,high_decay,valid,4,0.1448514234,0.003142324433,256
temporal_motion,high_decay,valid,5,0.09855558571,0.00257219618,256
temporal_motion,high_decay,valid,6,0.3794107216,0.01140630198,256
temporal_motion,high_decay,forced_invalid,1,0.9530088902,0,256
temporal_motion,high_decay,forced_invalid,2,0.9527955651,0,256
temporal_motion,high_decay,forced_invalid,3,0.05175151077,0.0005297302208,256
temporal_motion,high_decay,forced_invalid,4,0.1448514234,0.003142324433,256
temporal_motion,high_decay,forced_invalid,5,0.09977572302,0.002476810324,256
temporal_motion,high_decay,forced_invalid,6,0.3164886987,0.01231424351,256
selectivity,standard,valid,0,0.3319604397,0,256
selectivity,standard,valid,1,0.8094543219,0,256
selectivity,standard,valid,2,0.7845857143,0,256
selectivity,standard,valid,3,0.128228695,0.0007872090229,256
selectivity,standard,valid,4,0.2432569699,0.001506585852,256
selectivity,standard,valid,5,0.27383436,0.002142183957,256
selectivity,standard,valid,6,0.5668117793,0.01382880806,256
selectivity,standard,forced_invalid,0,0.3319604397,0,256
selectivity,standard,forced_invalid,1,0.8094543219,0,256
selectivity,standard,forced_invalid,2,0.7845857143,0,256
selectivity,standard,forced_invalid,3,0.128228695,0.0007872090229,256
selectivity,standard,forced_invalid,4,0.2432569699,0.001506585852,256
selectivity,standard,forced_invalid,5,0.2725630415,0.001950904711,256
selectivity,standard,forced_invalid,6,0.4044997506,0.008807410084,256
selectivity,high_decay,valid,0,0.3322825432,0,256
selectivity,high_decay,valid,1,0.8945057988,0,256
selectivity,high_decay,valid,2,0.3308103979,0,256
selectivity,high_decay,valid,3,0.3148398614,0.0007636839634,256
selectivity,high_decay,valid,4,0.3626913185,0.001924275311,256
selectivity,high_decay,valid,5,0.3761446082,0.002394792562,256
selectivity,high_decay,valid,6,0.6956514834,0.01325024845,256
selectivity,high_decay,forced_invalid,0,0.3322825432,0,256
selectivity,high_decay,forced_invalid,1,0.8945057988,0,256
selectivity,high_decay,forced_invalid,2,0.3308103979,0,256
selectivity,high_decay,forced_invalid,3,0.3148398614,0.0007636839634,256
selectivity,high_decay,forced_invalid,4,0.3626913185,0.001924275311,256
selectivity,high_decay,forced_invalid,5,0.3738315946,0.002348966946,256
selectivity,high_decay,forced_invalid,6,0.505804252,0.008901058194,256
image_mass,standard,valid,0,0.000315182231,1.136868377e-13,256
image_mass,standard,valid,1,0.964302361,0,256
image_mass,standard,valid,2,0.0007949225837,0,256
image_mass,standard,valid,3,0.1574472462,0.0009946692608,256
image_mass,standard,valid,4,0.0674521398,0.0007386756104,256
image_mass,standard,valid,5,0.05160642046,0.0006247755279,256
image_mass,standard,valid,6,0.02461239303,0.001222379036,256
image_mass,standard,forced_invalid,0,0.000315182231,1.136868377e-13,256
image_mass,standard,forced_invalid,1,0.964302361,0,256
image_mass,standard,forced_invalid,2,0.0007949225837,0,256
image_mass,standard,forced_invalid,3,0.1574472462,0.0009946692608,256
image_mass,standard,forced_invalid,4,0.0674521398,0.0007386756104,256
image_mass,standard,forced_invalid,5,0.05176376686,0.0005951183181,256
image_mass,standard,forced_invalid,6,0.03442184346,0.001128709916,256
image_mass,high_decay,valid,0,0.0002337110931,3.410605132e-13,256
image_mass,high_decay,valid,1,0.9531260133,0,256
image_mass,high_decay,valid,2,0.0006621541113,6.821210263e-13,256
image_mass,high_decay,valid,3,0.01043138444,0.0004663962378,256
image_mass,high_decay,valid,4,0.006237565098,0.000239551318,256
image_mass,high_decay,valid,5,0.004714645708,0.00017692509,256
image_mass,high_decay,valid,6,0.00189972593,0.0001980017048,256
image_mass,high_decay,forced_invalid,0,0.0002337110931,3.410605132e-13,256
image_mass,high_decay,forced_invalid,1,0.9531260133,0,256
image_mass,high_decay,forced_invalid,2,0.0006621541113,6.821210263e-13,256
image_mass,high_decay,forced_invalid,3,0.01043138444,0.0004663962378,256
image_mass,high_decay,forced_invalid,4,0.006237565098,0.000239551318,256
image_mass,high_decay,forced_invalid,5,0.004760822502,0.0001904795538,256
image_mass,high_decay,forced_invalid,6,0.002805979594,0.0002433891079,256
memory_mass,standard,valid,0,0.9996848702,0,256
memory_mass,standard,valid,1,0.03569767252,0,256
memory_mass,standard,valid,2,0.9992050529,0,256
memory_mass,standard,valid,3,0.8425527515,0.0009946692893,256
memory_mass,standard,valid,4,0.9325478608,0.0007386756512,256
memory_mass,standard,valid,5,0.9483935812,0.0006247756813,256
memory_mass,standard,valid,6,0.9753876098,0.001222378892,256
memory_mass,standard,forced_invalid,0,0.9996848702,0,256
memory_mass,standard,forced_invalid,1,0.03569767252,0,256
