metric,standard_mean,high_decay_mean,high_minus_standard,paired_ci_low,paired_ci_high,paired_n,bootstrap_samples,bootstrap_seed
primary_event_attention_motion,0.5244504953,0.424920459,-0.09953003626,-0.1021290575,-0.09698299006,256,10000,7200
event_selectivity,0.4366200867,0.4586922698,0.02207218318,0.01930224457,0.02472441495,256,10000,7237
event_peak_key_mass,0.5060662859,0.468654029,-0.0374122569,-0.04090442829,-0.03386710874,256,10000,7274
event_image_key_mass,0.1816448663,0.1396830593,-0.04196180698,-0.04270738209,-0.04124166497,256,10000,7311
nochange_attention_motion,0.4974795919,0.3842411022,-0.1132384897,-0.1170026839,-0.1093801502,128,10000,7348
cue_orienting_t1_minus_t0,0.5087388158,0.6911449879,0.1824061722,0.1824061722,0.1824061722,128,10000,7385
valid_attention_motion,0.5282096302,0.4300622828,-0.09814734736,-0.1014357668,-0.09480346824,256,10000,7422
valid_change_reorientation_t5_minus_t4,0.01211492391,0.01855619677,0.006441272853,-0.00320988084,0.01593405294,256,10000,7459
valid_qualifying_response,0.66796875,0.6875,0.01953125,-0.03125,0.06640625,256,10000,7496
forced_invalid_attention_motion,0.5206913604,0.4197786352,-0.1009127252,-0.1043877091,-0.09737933157,256,10000,7533
forced_invalid_change_reorientation_t5_minus_t4,0.002717651689,0.001574205235,-0.001143446454,-0.007420107326,0.004900108258,256,10000,7570
forced_invalid_qualifying_response,0.41796875,0.44140625,0.0234375,-0.03125,0.078125,256,10000,7607
