model,memory_decay,displayed_validity,orientation_change_degrees,condition,response_count,trials,response_rate,wilson_ci_low,wilson_ci_high
standard,1.0,0.25,0.0,valid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,0.25,0.0,forced_invalid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,0.25,3.0,valid,19,300,0.06333333333,0.04091655605,0.09679203948
standard,1.0,0.25,3.0,forced_invalid,18,300,0.06,0.03828605592,0.09284016248
standard,1.0,0.25,6.0,valid,49,300,0.1633333333,0.1258058217,0.2093740878
standard,1.0,0.25,6.0,forced_invalid,24,300,0.08,0.05434646978,0.1162740114
standard,1.0,0.25,9.0,valid,80,300,0.2666666667,0.2198051926,0.3194284081
standard,1.0,0.25,9.0,forced_invalid,41,300,0.1366666667,0.1023645973,0.1801562952
standard,1.0,0.25,12.0,valid,141,300,0.47,0.4142578072,0.5265007986
standard,1.0,0.25,12.0,forced_invalid,76,300,0.2533333333,0.2074489707,0.3054551214
standard,1.0,0.25,15.0,valid,199,300,0.6633333333,0.6080909561,0.7144455234
standard,1.0,0.25,15.0,forced_invalid,112,300,0.3733333333,0.3205237557,0.4293459133
standard,1.0,0.25,18.0,valid,254,300,0.8466666667,0.801533036,0.8830341859
standard,1.0,0.25,18.0,forced_invalid,169,300,0.5633333333,0.5067581756,0.61830699
standard,1.0,0.25,22.0,valid,287,300,0.9566666667,0.9272818709,0.9745037964
standard,1.0,0.25,22.0,forced_invalid,247,300,0.8233333333,0.776166651,0.862323931
standard,1.0,0.25,26.0,valid,294,300,0.98,0.9570598133,0.9908024939
standard,1.0,0.25,26.0,forced_invalid,282,300,0.94,0.9071598375,0.9617139441
standard,1.0,0.25,30.0,valid,300,300,1,0.98735657,1
standard,1.0,0.25,30.0,forced_invalid,298,300,0.9933333333,0.9760219258,0.99816989
standard,1.0,0.5,0.0,valid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,0.5,0.0,forced_invalid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,0.5,3.0,valid,19,300,0.06333333333,0.04091655605,0.09679203948
standard,1.0,0.5,3.0,forced_invalid,18,300,0.06,0.03828605592,0.09284016248
standard,1.0,0.5,6.0,valid,49,300,0.1633333333,0.1258058217,0.2093740878
standard,1.0,0.5,6.0,forced_invalid,24,300,0.08,0.05434646978,0.1162740114
standard,1.0,0.5,9.0,valid,80,300,0.2666666667,0.2198051926,0.3194284081
standard,1.0,0.5,9.0,forced_invalid,40,300,0.1333333333,0.09946587636,0.176472639
standard,1.0,0.5,12.0,valid,141,300,0.47,0.4142578072,0.5265007986
standard,1.0,0.5,12.0,forced_invalid,77,300,0.2566666667,0.2105325525,0.3089539167
standard,1.0,0.5,15.0,valid,200,300,0.6666666667,0.6115114165,0.7176074402
standard,1.0,0.5,15.0,forced_invalid,112,300,0.3733333333,0.3205237557,0.4293459133
standard,1.0,0.5,18.0,valid,254,300,0.8466666667,0.801533036,0.8830341859
standard,1.0,0.5,18.0,forced_invalid,169,300,0.5633333333,0.5067581756,0.61830699
standard,1.0,0.5,22.0,valid,287,300,0.9566666667,0.9272818709,0.9745037964
standard,1.0,0.5,22.0,forced_invalid,247,300,0.8233333333,0.776166651,0.862323931
standard,1.0,0.5,26.0,valid,294,300,0.98,0.9570598133,0.9908024939
standard,1.0,0.5,26.0,forced_invalid,282,300,0.94,0.9071598375,0.9617139441
standard,1.0,0.5,30.0,valid,300,300,1,0.98735657,1
standard,1.0,0.5,30.0,forced_invalid,298,300,0.9933333333,0.9760219258,0.99816989
standard,1.0,0.75,0.0,valid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,0.75,0.0,forced_invalid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,0.75,3.0,valid,19,300,0.06333333333,0.04091655605,0.09679203948
standard,1.0,0.75,3.0,forced_invalid,19,300,0.06333333333,0.04091655605,0.09679203948
standard,1.0,0.75,6.0,valid,50,300,0.1666666667,0.1287647124,0.2129975743
standard,1.0,0.75,6.0,forced_invalid,24,300,0.08,0.05434646978,0.1162740114
standard,1.0,0.75,9.0,valid,80,300,0.2666666667,0.2198051926,0.3194284081
standard,1.0,0.75,9.0,forced_invalid,40,300,0.1333333333,0.09946587636,0.176472639
standard,1.0,0.75,12.0,valid,141,300,0.47,0.4142578072,0.5265007986
standard,1.0,0.75,12.0,forced_invalid,78,300,0.26,0.2136198135,0.3124490329
standard,1.0,0.75,15.0,valid,200,300,0.6666666667,0.6115114165,0.7176074402
standard,1.0,0.75,15.0,forced_invalid,112,300,0.3733333333,0.3205237557,0.4293459133
standard,1.0,0.75,18.0,valid,254,300,0.8466666667,0.801533036,0.8830341859
standard,1.0,0.75,18.0,forced_invalid,169,300,0.5633333333,0.5067581756,0.61830699
standard,1.0,0.75,22.0,valid,287,300,0.9566666667,0.9272818709,0.9745037964
standard,1.0,0.75,22.0,forced_invalid,247,300,0.8233333333,0.776166651,0.862323931
standard,1.0,0.75,26.0,valid,294,300,0.98,0.9570598133,0.9908024939
standard,1.0,0.75,26.0,forced_invalid,282,300,0.94,0.9071598375,0.9617139441
standard,1.0,0.75,30.0,valid,300,300,1,0.98735657,1
standard,1.0,0.75,30.0,forced_invalid,298,300,0.9933333333,0.9760219258,0.99816989
standard,1.0,1.0,0.0,valid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,1.0,0.0,forced_invalid,7,300,0.02333333333,0.0113475156,0.04737255433
standard,1.0,1.0,3.0,valid,19,300,0.06333333333,0.04091655605,0.09679203948
standard,1.0,1.0,3.0,forced_invalid,18,300,0.06,0.03828605592,0.09284016248
standard,1.0,1.0,6.0,valid,50,300,0.1666666667,0.1287647124,0.2129975743
standard,1.0,1.0,6.0,forced_invalid,24,300,0.08,0.05434646978,0.1162740114
standard,1.0,1.0,9.0,valid,80,300,0.2666666667,0.2198051926,0.3194284081
standard,1.0,1.0,9.0,forced_invalid,40,300,0.1333333333,0.09946587636,0.176472639
standard,1.0,1.0,12.0,valid,141,300,0.47,0.4142578072,0.5265007986
standard,1.0,1.0,12.0,forced_invalid,78,300,0.26,0.2136198135,0.3124490329
standard,1.0,1.0,15.0,valid,200,300,0.6666666667,0.6115114165,0.7176074402
standard,1.0,1.0,15.0,forced_invalid,112,300,0.3733333333,0.3205237557,0.4293459133
standard,1.0,1.0,18.0,valid,254,300,0.8466666667,0.801533036,0.8830341859
standard,1.0,1.0,18.0,forced_invalid,169,300,0.5633333333,0.5067581756,0.61830699
standard,1.0,1.0,22.0,valid,287,300,0.9566666667,0.9272818709,0.9745037964
standard,1.0,1.0,22.0,forced_invalid,247,300,0.8233333333,0.776166651,0.862323931
standard,1.0,1.0,26.0,valid,294,300,0.98,0.9570598133,0.9908024939
standard,1.0,1.0,26.0,forced_invalid,282,300,0.94,0.9071598375,0.9617139441
standard,1.0,1.0,30.0,valid,300,300,1,0.98735657,1
standard,1.0,1.0,30.0,forced_invalid,298,300,0.9933333333,0.9760219258,0.99816989
high_decay,0.8,0.25,0.0,valid,30,300,0.1,0.07094746565,0.1391672784
