trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_query_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,first_test_t3_query_same_minus_other_visual,first_test_t3_query_same_minus_other_memory,first_test_t3_query_same_minus_other_combined,first_test_t4_query_same_minus_other_visual,first_test_t4_query_same_minus_other_memory,first_test_t4_query_same_minus_other_combined,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_visual,second_test_query_same_minus_other_memory,second_test_query_same_minus_other_combined
0,1,0,-0.028747798715127004,0.02004226914141327,0.004378694835445174,-0.045480897677450116,0.06343251466751099,-0.048408374190330505,-0.00020869821310043335,-0.04861707240343094,-0.04831971228122711,0.1270737275481224,0.0787540152668953,nan,nan,nan,nan,nan
1,1,0,-0.033153607276581454,0.004148671869188547,-0.022852034174761116,-0.05061150902227496,0.04308685287833214,-0.04836224019527435,0.00023859739303588867,-0.048123642802238464,-0.04818977415561676,0.08593510836362839,0.03774533420801163,nan,nan,nan,nan,nan
2,1,0,-0.028519635497165297,0.020743728149682283,0.025155299570037926,-0.04443499333589784,0.06841469556093216,-0.048486098647117615,-0.0003976747393608093,-0.048883773386478424,-0.04837051033973694,0.13722706586122513,0.08885655552148819,nan,nan,nan,nan,nan
3,1,0,-0.03074681596957518,0.012712054653093219,0.0002877352192669491,-0.051865878789925546,0.03802146762609482,-0.04825742542743683,5.1178038120269775e-05,-0.04820624738931656,-0.04830864071846008,0.07599175721406937,0.027683116495609283,nan,nan,nan,nan,nan
4,1,0,-0.03370172739931121,0.0023100939579308033,0.015600474578761236,-0.05235106890165753,0.03612552583217621,-0.048270851373672485,-5.328655242919922e-05,-0.048324137926101685,-0.04824657738208771,0.07230433821678162,0.02405776083469391,nan,nan,nan,nan,nan
5,1,0,-0.02973885639602969,0.016348808887414634,-0.02444298097553599,-0.0490593247799751,0.0489911213517189,-0.04825720191001892,-3.898143768310547e-05,-0.048296183347702026,-0.048203811049461365,0.09802122414112091,0.049817413091659546,nan,nan,nan,nan,nan
6,1,0,-0.03084228775968967,0.012557111447677016,0.013788002748484018,-0.04517977204123724,0.06477796845138073,-0.04843278229236603,-5.227327346801758e-05,-0.048485055565834045,-0.0483366996049881,0.12960821017622948,0.08127151057124138,nan,nan,nan,nan,nan
7,1,0,-0.03247781438385999,0.006463966798037291,-0.00565789236732428,-0.04608211649319571,0.06181492283940315,-0.04850408434867859,4.373490810394287e-06,-0.048499710857868195,-0.048365890979766846,0.12362547218799591,0.07525958120822906,nan,nan,nan,nan,nan
8,1,0,-0.03293136001683905,0.0049162369687110186,0.026588491551748916,-0.048186542233288776,0.05332071892917156,-0.048471689224243164,-1.8551945686340332e-06,-0.0484735444188118,-0.048302143812179565,0.10664329305291176,0.05834114924073219,nan,nan,nan,nan,nan
9,1,0,-0.031793542694693144,0.008933672681450844,-0.03127715118766616,-0.04652073782862942,0.06013714522123337,-0.04846027493476868,-2.1010637283325195e-05,-0.048481285572052,-0.04835951328277588,0.12029530107975006,0.07193578779697418,nan,nan,nan,nan,nan
10,1,0,-0.03198853638197363,0.008303333073854446,-0.031014104979973922,-0.04720340863104866,0.05638175830245018,-0.04831226170063019,7.949769496917725e-06,-0.04830431193113327,-0.048245638608932495,0.11275556683540344,0.06450992822647095,nan,nan,nan,nan,nan
11,1,0,-0.030661200059888927,0.012876998633146286,0.04663270353368887,-0.049190927034288734,0.048597581684589386,-0.04826274514198303,4.7519803047180176e-05,-0.04821522533893585,-0.04819633066654205,0.09714764356613159,0.04895131289958954,nan,nan,nan,nan,nan
12,1,0,-0.03208180741508215,0.0075719282031059265,-0.012908400102944029,-0.04957726915996119,0.04725768230855465,-0.048367828130722046,-5.9373676776885986e-05,-0.04842720180749893,-0.048185497522354126,0.09457473829388618,0.04638924077153206,nan,nan,nan,nan,nan
13,1,0,-0.031596522068987554,0.009722345508635044,-0.029464277510882653,-0.04625622099424476,0.060504624620079994,-0.04844416677951813,-1.5087425708770752e-05,-0.0484592542052269,-0.048341959714889526,0.12102433666586876,0.07268237695097923,nan,nan,nan,nan,nan
14,1,0,-0.031466095780878334,0.010324733098968863,-0.005731418024382151,-0.05176359107727535,0.03855178505182266,-0.048482269048690796,-0.00026717036962509155,-0.04874943941831589,-0.048325315117836,0.07737074047327042,0.029045425355434418,nan,nan,nan,nan,nan
15,1,0,-0.03128170200909253,0.0113896862603724,0.012897640026885426,-0.04971938918043861,0.04701179265975952,-0.04843941330909729,-6.060302257537842e-05,-0.04850001633167267,-0.048258811235427856,0.09408418834209442,0.045825377106666565,nan,nan,nan,nan,nan
16,1,0,-0.032251112031520535,0.007394393673166633,-0.03554992449641503,-0.04505321186115907,0.06571117043495178,-0.048482492566108704,-5.789846181869507e-05,-0.0485403910279274,-0.048376426100730896,0.13148023933172226,0.08310381323099136,nan,nan,nan,nan,nan
17,1,0,-0.029869336625800713,0.016070347046479583,0.002032279562300232,-0.04972068280390829,0.04754785634577274,-0.04844430088996887,-2.1904706954956055e-05,-0.04846620559692383,-0.048293083906173706,0.09511761739850044,0.046824533492326736,nan,nan,nan,nan,nan
18,1,0,-0.03160833297067711,0.009230592753738165,-0.020376322044512563,-0.04601947482250068,0.06170148588716984,-0.04842697083950043,-3.46451997756958e-05,-0.04846161603927612,-0.04836678504943848,0.12343761697411537,0.0750708319246769,nan,nan,nan,nan,nan
19,1,0,-0.03178510754332109,0.009107505669817328,-0.014601710927721001,-0.046716427383003634,0.058554310351610184,-0.048333704471588135,7.571280002593994e-05,-0.048257991671562195,-0.04830385744571686,0.11703290790319443,0.06872905045747757,nan,nan,nan,nan,nan
