trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_memory
0,1,0,-0.028747798715127004,0.004378694835445174,-0.045480897677450116,0.06343251466751099,nan,nan,nan
1,1,0,-0.033153607276581454,-0.022852034174761116,-0.05061150902227496,0.04308685287833214,nan,nan,nan
2,1,0,-0.028519635497165297,0.025155299570037926,-0.04443499333589784,0.06841469556093216,nan,nan,nan
3,1,0,-0.03074681596957518,0.0002877352192669491,-0.051865878789925546,0.03802146762609482,nan,nan,nan
4,1,0,-0.03370172739931121,0.015600474578761236,-0.05235106890165753,0.03612552583217621,nan,nan,nan
5,1,0,-0.02973885639602969,-0.02444298097553599,-0.0490593247799751,0.0489911213517189,nan,nan,nan
6,1,0,-0.03084228775968967,0.013788002748484018,-0.04517977204123724,0.06477796845138073,nan,nan,nan
7,1,0,-0.03247781438385999,-0.00565789236732428,-0.04608211649319571,0.06181492283940315,nan,nan,nan
8,1,0,-0.03293136001683905,0.026588491551748916,-0.048186542233288776,0.05332071892917156,nan,nan,nan
9,1,0,-0.031793542694693144,-0.03127715118766616,-0.04652073782862942,0.06013714522123337,nan,nan,nan
10,1,0,-0.03198853638197363,-0.031014104979973922,-0.04720340863104866,0.05638175830245018,nan,nan,nan
11,1,0,-0.030661200059888927,0.04663270353368887,-0.049190927034288734,0.048597581684589386,nan,nan,nan
12,1,0,-0.03208180741508215,-0.012908400102944029,-0.04957726915996119,0.04725768230855465,nan,nan,nan
13,1,0,-0.031596522068987554,-0.029464277510882653,-0.04625622099424476,0.060504624620079994,nan,nan,nan
14,1,0,-0.031466095780878334,-0.005731418024382151,-0.05176359107727535,0.03855178505182266,nan,nan,nan
15,1,0,-0.03128170200909253,0.012897640026885426,-0.04971938918043861,0.04701179265975952,nan,nan,nan
16,1,0,-0.032251112031520535,-0.03554992449641503,-0.04505321186115907,0.06571117043495178,nan,nan,nan
17,1,0,-0.029869336625800713,0.002032279562300232,-0.04972068280390829,0.04754785634577274,nan,nan,nan
18,1,0,-0.03160833297067711,-0.020376322044512563,-0.04601947482250068,0.06170148588716984,nan,nan,nan
19,1,0,-0.03178510754332109,-0.014601710927721001,-0.046716427383003634,0.058554310351610184,nan,nan,nan
20,1,0,-0.03000145621680872,0.006566367949119467,-0.051374817105710235,0.04058494046330452,nan,nan,nan
21,1,0,-0.031075876269280656,-0.03733506171430889,-0.04466380648732127,0.06728670932352543,nan,nan,nan
22,1,0,-0.029751132778081057,-0.03539274334757181,-0.04954414763113846,0.047512564808130264,nan,nan,nan
23,1,0,-0.035515211310546135,0.004363863756694286,-0.04467187020524932,0.06729452684521675,nan,nan,nan
24,1,0,-0.03224672383051086,-0.016089165097213254,-0.05217587538565738,0.03745120018720627,nan,nan,nan
25,1,0,-0.02978221226865685,0.02828247400233863,-0.05231577287688083,0.03704633377492428,nan,nan,nan
26,1,0,-0.032810951961366186,0.010331807584691433,-0.05132195444333831,0.0406096987426281,nan,nan,nan
27,1,0,-0.030791093495498245,-0.009769538564405877,-0.050419414931752726,0.04359186254441738,nan,nan,nan
28,1,0,-0.031322206135104835,-0.024742849576604442,-0.0439557948874949,0.07051779702305794,nan,nan,nan
29,1,0,-0.03480055294991402,0.017574037978867807,-0.048246715435709575,0.05279400199651718,nan,nan,nan
30,1,0,-0.029639600420463097,-0.038804275862396764,-0.048713054822769664,0.05113113299012184,nan,nan,nan
31,1,0,-0.032443448879067915,-0.014852208438561831,-0.04441220205214336,0.06841442361474037,nan,nan,nan
32,1,3,-0.03261719789824724,-0.016958605760919454,-0.04277262482266053,0.06702330149710178,nan,nan,nan
33,1,3,-0.028478666980436884,-0.056501067883708345,-0.047263319531005266,0.04901633784174919,nan,nan,nan
34,1,3,-0.028905266634009052,-0.020047365924618532,-0.04191894915751959,0.07014892995357513,nan,nan,nan
35,1,3,-0.02842216536636144,-0.008524676184201496,-0.04324126105072423,0.06414908170700073,nan,nan,nan
36,1,3,-0.030213405464131426,0.019585641462853687,-0.04196197522287548,0.07002506591379642,nan,nan,nan
37,1,3,-0.03131975947418297,0.024812132511122797,-0.048421717961453226,0.044580211862921715,nan,nan,nan
38,1,3,-0.028736852711347183,-0.041634984874633574,-0.04086776334845865,0.07392756454646587,nan,nan,nan
39,1,3,-0.030644375949872682,-0.052237514861779744,-0.045361358704269605,0.05658378452062607,nan,nan,nan
40,1,3,-0.03021811750280534,-0.010958553603657606,-0.04387745288379108,0.062350159510970116,nan,nan,nan
41,1,3,-0.029632663157457273,0.021451343563683167,-0.047777004862865624,0.046459684148430824,nan,nan,nan
42,1,3,-0.03481067441818908,-0.01064660852019017,-0.04849502146100804,0.04366302490234375,nan,nan,nan
43,1,3,-0.03137957844811723,-0.011559089297534797,-0.0488587983326596,0.04242483898997307,nan,nan,nan
44,1,3,-0.03251359686051103,0.009706995271500318,-0.042521017894912916,0.06805191561579704,nan,nan,nan
45,1,3,-0.028315412956253283,-0.04131637378404207,-0.047875979674799396,0.046171076595783234,nan,nan,nan
46,1,3,-0.0319566880396458,-0.020680277086349008,-0.04860585398743922,0.0439068078994751,nan,nan,nan
47,1,3,-0.0321989000630154,-0.02094836507804132,-0.048302065073521305,0.04522770084440708,nan,nan,nan
48,1,3,-0.03292992277142659,0.015057688379123135,-0.045646218332919375,0.05562347732484341,nan,nan,nan
49,1,3,-0.03411745992230664,-0.009547737439518755,-0.04928503136939355,0.04109393619000912,nan,nan,nan
50,1,3,-0.03172181450602096,-0.004096006702596355,-0.04350247647779071,0.06424503773450851,nan,nan,nan
51,1,3,-0.030732542747415437,-0.023672542538619723,-0.04658162749967687,0.0520542711019516,nan,nan,nan
52,1,3,-0.0342569420627683,-0.018203046813340507,-0.046619549899034496,0.05153762176632881,nan,nan,nan
53,1,3,-0.03081105573940235,0.026175580801854892,-0.04818956575975619,0.04564291052520275,nan,nan,nan
54,1,3,-0.03137177952591941,-0.022084931993859414,-0.04177544027219682,0.07060229033231735,nan,nan,nan
55,1,3,-0.03271850280389543,0.007847645325441022,-0.045509538453046616,0.05501360446214676,nan,nan,nan
56,1,3,-0.031649996911781386,0.02599408909475187,-0.04817350911181961,0.04551849886775017,nan,nan,nan
57,1,3,-0.03478706787052133,-0.00031080352956536217,-0.04229004151295612,0.06896378472447395,nan,nan,nan
58,1,3,-0.028622499392110257,0.016756118385437446,-0.0464662315718698,0.05257165990769863,nan,nan,nan
59,1,3,-0.029021477917940075,0.028135865773030844,-0.04733158207949373,0.04864502139389515,nan,nan,nan
60,1,3,-0.03225206531547542,-0.012631685376419455,-0.04240828363474236,0.06790849938988686,nan,nan,nan
61,1,3,-0.03145307805166553,-0.04455835754455251,-0.050699801263917266,0.035423643887043,nan,nan,nan
62,1,3,-0.030404029152094836,0.01877394371079788,-0.0496500242185931,0.03968326188623905,nan,nan,nan
63,1,3,-0.034717505240394075,0.023828555172343613,-0.04383014488290371,0.06203710660338402,nan,nan,nan
64,0,0,-0.03183408681327293,-0.01899302520791224,-0.0500238505333499,0.04564042575657368,-0.0040636271409724145,-0.013873933070349231,0.22009953833185136
65,0,0,-0.0330168215790394,-0.02435497761862848,-0.05138766896970992,0.04018480330705643,-0.00333012046932879,-0.007751256960849773,0.23061015456914902
66,0,0,-0.02870921587201991,-0.002059533943238989,-0.05192048030866658,0.03781615383923054,-0.012339978019042519,-0.02188664942702978,0.1828980079444591
67,0,0,-0.030013862411699677,-0.03243038533834408,-0.04996018028020899,0.045502327382564545,0.013191666042068562,0.003818839435531629,0.2689213672711048
68,0,0,-0.033983293312125795,-0.03930436884449762,-0.050307048241222674,0.04445861093699932,-0.019047977052920828,-0.027984827742717044,0.16087992629036307
69,0,0,-0.03014173273282239,-0.007950119529951394,-0.051636774848915934,0.03889344818890095,-0.035126377301480716,-0.044440553413160444,0.10485341108869761
70,0,0,-0.03165169746566221,-0.02300362124401545,-0.04966923594820827,0.04740525782108307,0.01280501640142262,0.003442286161202901,0.26701231341576204
