condition,frame,source,n,target_minus_other,ci95_low,ci95_high
"changed, test L0, +18°, samples low/low",0,visual,64,-2.8279144316911697e-05,-5.8505841298028824e-05,1.4023558469489218e-05
"changed, test L0, +18°, samples low/low",0,memory,64,0.0,0.0,0.0
"changed, test L0, +18°, samples low/low",0,combined,64,-2.827681601047516e-05,-5.9351162053644654e-05,1.2804399011656645e-05
"changed, test L0, +18°, samples low/low",1,visual,64,-1.1377735063433647e-05,-4.717491683550179e-05,3.963345661759379e-05
"changed, test L0, +18°, samples low/low",1,memory,64,0.007912266999483109,-0.0030410116945859037,0.01926063201390207
"changed, test L0, +18°, samples low/low",1,combined,64,0.007900900207459927,-0.003252169059123844,0.018757710373029115
"changed, test L0, +18°, samples low/low",3,visual,64,-0.06147855520248413,-0.06149344891309738,-0.06146179856732488
"changed, test L0, +18°, samples low/low",3,memory,64,4.594854544848204e-06,-2.2971660655457525e-06,1.221428974531591e-05
"changed, test L0, +18°, samples low/low",3,combined,64,-0.061473965644836426,-0.061491668410599234,-0.06145343901589513
"changed, test L0, +18°, samples low/low",4,visual,8,-0.061335548758506775,-0.06135080009698868,-0.061308770813047885
"changed, test L0, +18°, samples low/low",4,memory,8,0.03308149427175522,0.03214840600267053,0.03413423607125878
"changed, test L0, +18°, samples low/low",4,combined,8,-0.028254074975848198,-0.029208720242604614,-0.027185983955860138
"changed, test L3, +18°, samples low/low",0,visual,64,4.087435081601143e-05,2.1927733905613424e-05,6.129915709607303e-05
"changed, test L3, +18°, samples low/low",0,memory,64,0.0,0.0,0.0
"changed, test L3, +18°, samples low/low",0,combined,64,4.087807610630989e-05,2.242078771814704e-05,6.0947507154196505e-05
"changed, test L3, +18°, samples low/low",1,visual,64,3.9380742236971855e-05,1.884411904029548e-05,6.020808359608055e-05
"changed, test L3, +18°, samples low/low",1,memory,64,-0.009130731225013733,-0.0203168336302042,0.0016825509490445293
"changed, test L3, +18°, samples low/low",1,combined,64,-0.00909135490655899,-0.020177444070577623,0.001823985198279844
"changed, test L3, +18°, samples low/low",3,visual,64,-0.06077834963798523,-0.06079095657914877,-0.06076440941542387
"changed, test L3, +18°, samples low/low",3,memory,64,-1.0979536455124617e-05,-4.299285719753243e-05,1.1531254858709872e-05
"changed, test L3, +18°, samples low/low",3,combined,64,-0.0607893206179142,-0.060815717373043296,-0.06076738024130464
"changed, test L3, +18°, samples low/low",4,visual,11,-0.06066851317882538,-0.060680076759308574,-0.06065709888935089
"changed, test L3, +18°, samples low/low",4,memory,11,0.025630153715610504,0.02483042567037046,0.026394821982830764
"changed, test L3, +18°, samples low/low",4,combined,11,-0.035038337111473083,-0.035877120308578016,-0.03422120381146669
"unchanged, test L0, +18°, samples low/low",0,visual,64,-3.690924495458603e-05,-5.343275843188167e-05,-1.979248481802642e-05
"unchanged, test L0, +18°, samples low/low",0,memory,64,0.0,0.0,0.0
"unchanged, test L0, +18°, samples low/low",0,combined,64,-3.6917394027113914e-05,-5.3529662545770405e-05,-1.9850576063618056e-05
"unchanged, test L0, +18°, samples low/low",1,visual,64,-2.5709392502903938e-05,-4.4948747381567954e-05,-7.771962555125353e-06
"unchanged, test L0, +18°, samples low/low",1,memory,64,0.003950138110667467,-0.006356253428384661,0.014040537714026868
"unchanged, test L0, +18°, samples low/low",1,combined,64,0.003924424760043621,-0.006479729013517499,0.013954718317836524
"unchanged, test L0, +18°, samples low/low",3,visual,64,-0.061364151537418365,-0.06138085341081023,-0.06134609803557396
"unchanged, test L0, +18°, samples low/low",3,memory,64,-2.8489157557487488e-06,-7.945897959871217e-06,2.0275016140658413e-06
"unchanged, test L0, +18°, samples low/low",3,combined,64,-0.06136700138449669,-0.06138627305626869,-0.06134796282276511
"unchanged, test L0, +18°, samples low/low",4,visual,61,-0.061205994337797165,-0.06122034573927522,-0.061191271618008615
"unchanged, test L0, +18°, samples low/low",4,memory,61,0.02394428290426731,0.023092616023495792,0.02481454857625067
"unchanged, test L0, +18°, samples low/low",4,combined,61,-0.0372617244720459,-0.038121415115892884,-0.036390251200646165
"unchanged, test L0, +18°, samples low/low",6,visual,60,-0.061454638838768005,-0.06148701710626483,-0.061406354419887066
"unchanged, test L0, +18°, samples low/low",6,memory,60,0.051907606422901154,0.047235811781138184,0.0564629047177732
"unchanged, test L0, +18°, samples low/low",6,combined,60,-0.009547038935124874,-0.014377249148674309,-0.004910227609798312
"unchanged, test L3, +18°, samples low/low",0,visual,64,3.836699761450291e-05,1.8053216626867653e-05,5.8339722454547885e-05
"unchanged, test L3, +18°, samples low/low",0,memory,64,0.0,0.0,0.0
"unchanged, test L3, +18°, samples low/low",0,combined,64,3.83544247597456e-05,1.7866940470412374e-05,5.876586656086147e-05
"unchanged, test L3, +18°, samples low/low",1,visual,64,2.2023450583219528e-05,1.6131380107253794e-06,4.1825842345133424e-05
"unchanged, test L3, +18°, samples low/low",1,memory,64,-0.00020864501129835844,-0.010825568321160972,0.010208880831487481
"unchanged, test L3, +18°, samples low/low",1,combined,64,-0.00018662074580788612,-0.010815097042359412,0.010463107912801209
"unchanged, test L3, +18°, samples low/low",3,visual,64,-0.06077660992741585,-0.06079000271856785,-0.06076306467875838
"unchanged, test L3, +18°, samples low/low",3,memory,64,-2.6437046471983194e-06,-6.650597060797736e-06,6.479029252659547e-07
"unchanged, test L3, +18°, samples low/low",3,combined,64,-0.06077924370765686,-0.06079413760453463,-0.06076433835551143
"unchanged, test L3, +18°, samples low/low",4,visual,64,-0.060676172375679016,-0.06068490091711283,-0.06066630752757192
"unchanged, test L3, +18°, samples low/low",4,memory,64,0.03153710067272186,0.0306926432531327,0.032382766529917714
"unchanged, test L3, +18°, samples low/low",4,combined,64,-0.029139067977666855,-0.029961138125509025,-0.028273936361074448
"unchanged, test L3, +18°, samples low/low",6,visual,59,-0.061089836061000824,-0.06110514346510172,-0.06107267392799258
"unchanged, test L3, +18°, samples low/low",6,memory,59,-0.05170414224267006,-0.056484822556376456,-0.04695499129593372
"unchanged, test L3, +18°, samples low/low",6,combined,59,-0.11279397457838058,-0.11757614873349667,-0.10782785322517156
