condition,label,magnitude_degrees,trials,response_count,response_probability,wilson95_lower,wilson95_upper,early_response_count,no_response_count,mean_qualifying_rt_frame,false_alarm_count,false_alarm_trials,false_alarm_rate,dprime,criterion
historical_clean,No injection · train σ=0 · eval σ=0,0.0,300,16,0.05333333333333334,0.03309191251909646,0.08486914177483133,0,284,5.25,15,300,0.05,0.03068973017912735,1.6151827520309787
historical_clean,No injection · train σ=0 · eval σ=0,3.0,300,15,0.05,0.03053164062934728,0.08084703347274415,0,285,5.333333333333333,15,300,0.05,0.0,1.6305276171205423
historical_clean,No injection · train σ=0 · eval σ=0,6.0,300,24,0.08,0.054346855395144764,0.11627324043347391,0,276,5.208333333333333,15,300,0.05,0.23478062417087475,1.513137305035105
historical_clean,No injection · train σ=0 · eval σ=0,9.0,300,29,0.09666666666666666,0.06815029481828931,0.13538170196951116,0,271,5.137931034482759,15,300,0.05,0.3375340645716196,1.4617605848347326
historical_clean,No injection · train σ=0 · eval σ=0,12.0,300,53,0.17666666666666667,0.13767670929949632,0.22383241209237675,0,247,5.30188679245283,15,300,0.05,0.7065188045750075,1.2772682148330385
historical_clean,No injection · train σ=0 · eval σ=0,15.0,300,80,0.26666666666666666,0.21980599244000376,0.31942739413145094,0,220,5.3375,15,300,0.05,1.0099593453130042,1.1255479444640402
historical_clean,No injection · train σ=0 · eval σ=0,18.0,300,123,0.41,0.35582394979935006,0.4664517850210681,0,177,5.382113821138211,15,300,0.05,1.40375171984713,0.9286517571969772
historical_clean,No injection · train σ=0 · eval σ=0,22.0,300,209,0.6966666666666667,0.642431561442127,0.7459288698762181,0,91,5.354066985645933,15,300,0.05,2.1434960220469574,0.5587796060970636
historical_clean,No injection · train σ=0 · eval σ=0,26.0,300,259,0.8633333333333333,0.8198445870022494,0.8976348539079136,0,41,5.196911196911197,15,300,0.05,2.7204496088094468,0.2703028127158189
historical_clean,No injection · train σ=0 · eval σ=0,30.0,300,283,0.9433333333333334,0.9111340419775253,0.9643225235367106,0,17,5.148409893992933,15,300,0.05,3.2011126456879615,0.029971294276561533
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,0.0,300,28,0.09333333333333334,0.06536421957889091,0.1315853970170732,0,272,5.321428571428571,22,300,0.07333333333333333,0.1288451909385564,1.3768713355697404
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,3.0,300,29,0.09666666666666666,0.06815029481828931,0.13538170196951116,0,271,5.310344827586207,22,300,0.07333333333333333,0.1483003784900958,1.3671437417939707
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,6.0,300,40,0.13333333333333333,0.09946641683411198,0.1764717620638884,0,260,5.4,22,300,0.07333333333333333,0.33616330102152037,1.2732122805282584
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,9.0,300,55,0.18333333333333332,0.14364526409824455,0.23102861767730118,0,245,5.254545454545455,22,300,0.07333333333333333,0.5425156372822327,1.1700361123979022
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,12.0,300,77,0.25666666666666665,0.21053333722579365,0.30895290877015197,0,223,5.259740259740259,22,300,0.07333333333333333,0.7901447106341504,1.0462215757219433
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,15.0,300,119,0.39666666666666667,0.34295083194304077,0.452995382110032,0,181,5.235294117647059,22,300,0.07333333333333333,1.18019982081006,0.8511940206339885
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,18.0,300,156,0.52,0.4635710820137406,0.5759231991372775,0,144,5.230769230769231,22,300,0.07333333333333333,1.4912807522221736,0.6956535549279317
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,22.0,300,207,0.69,0.6355391960366674,0.739656474898005,0,93,5.188405797101449,22,300,0.07333333333333333,1.9353558392914698,0.4736160113932836
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,26.0,300,244,0.8133333333333334,0.7653812201652491,0.8533625178673686,0,56,5.147540983606557,22,300,0.07333333333333333,2.3276693094348304,0.2774592763216033
interrupted_noisy,Noise injection · train σ=0.5 · eval σ=0.5,30.0,300,263,0.8766666666666667,0.8346262759711767,0.9091826857063321,0,37,5.079847908745247,22,300,0.07333333333333333,2.5936630255766433,0.14446241825069672
