role,dose,bias,response_rate,false_alarm_rate,dprime,criterion,conditional_mean_response_frame,achieved_change_mass_t6,achieved_cued_mass_t6,achieved_control_mass_t6
change,0.0,-6.0,0.06666666666666667,0.03,0.3797076621072262,1.690939777097638,5.5,0.0016936787497956603,0.0754671900104491,0.06602863649699078
change,0.25,-3.0,0.09,0.03,0.5400385744610345,1.6107743209207337,5.62962962962963,0.03174639596198388,0.0741649592049663,0.06383984479163388
change,0.5,0.0,0.51,0.03,1.905862516409962,0.92786234994627,5.9411764705882355,0.3334631276692186,0.059363085992815645,0.04293334803347781
change,0.75,3.0,0.9066666666666666,0.03666666666666667,3.11125495703721,0.23512307465132454,5.970588235294118,0.8735665017873953,0.021385513676270135,0.007375287091270544
change,1.0,6.0,0.9466666666666667,0.043333333333333335,3.3266077962803755,0.04994550348788507,5.947183098591549,0.9914091882405862,0.002492375561805511,0.0004284478060051152
cued,0.0,-6.0,0.54,0.016666666666666666,2.228478954696454,1.013805756836757,5.962962962962963,0.3892403605945504,0.000516714790337031,0.04318652626284414
cued,0.25,-3.0,0.54,0.02,2.154182631143293,0.9766575950601766,5.962962962962963,0.3842857852520145,0.008873423106578546,0.04290442778202741
cued,0.5,0.0,0.51,0.03,1.905862516409962,0.92786234994627,5.9411764705882355,0.3334631276692186,0.059363085992815645,0.04293334803347781
cued,0.75,3.0,0.5566666666666666,0.19333333333333333,1.0082014968938893,0.36157743600943104,5.718562874251497,0.17073579629713964,0.22315955073899962,0.042830195792943185
cued,1.0,6.0,0.4166666666666667,0.24666666666666667,0.47458838422717753,0.44772258636151346,5.384,0.06458517284726668,0.6427289309785791,0.020959666455841013
control,0.0,-6.0,0.53,0.02666666666666667,2.007481953898088,0.9284711148492141,5.937106918238993,0.34458424981750113,0.06026525042947071,0.00011329066412561466
control,0.25,-3.0,0.53,0.02666666666666667,2.007481953898088,0.9284711148492141,5.937106918238993,0.3440320585825004,0.06021910233799209,0.0022684862219189156
control,0.5,0.0,0.51,0.03,1.905862516409962,0.92786234994627,5.9411764705882355,0.3334631276692186,0.059363085992815645,0.04293334803347781
control,0.75,3.0,0.36666666666666664,0.043333333333333335,1.3725545745402772,1.0269721143579342,5.9363636363636365,0.21851109885316228,0.04971498343897991,0.42759077317092004
control,1.0,6.0,0.08666666666666667,0.04666666666666667,0.31649958414532464,1.5198207261482466,5.615384615384615,0.03440535186715739,0.012460053159744137,0.9169101746984931
