role,dose,bias,response_rate,false_alarm_rate,dprime,criterion,conditional_mean_response_frame,achieved_change_mass_t6,achieved_cued_mass_t6,achieved_control_mass_t6
change,0.0,-6.0,0.26666666666666666,0.06333333333333334,0.9044537943134996,1.0751526203668376,5.1,0.008312019483745275,0.5445357367866624,0.23471222241637102
change,0.25,-3.0,0.29333333333333333,0.06333333333333334,0.9837067372247672,1.0355261489112038,5.181818181818182,0.09484858540620242,0.5022398279962605,0.21048795109110263
change,0.5,0.0,0.4166666666666667,0.06333333333333334,1.3169511232756625,0.8689039558857561,5.384,0.5049365766812601,0.28186069177575823,0.10908704508446439
change,0.75,3.0,0.5533333333333333,0.06333333333333334,1.6614670815155754,0.6966459767657996,5.367469879518072,0.9137093733794063,0.05200025575763902,0.017988528530077777
change,1.0,6.0,0.5866666666666667,0.05333333333333334,1.8323370604798626,0.6971898644123714,5.318181818181818,0.994152522595535,0.0036376609727132112,0.0011726990700786407
cued,0.0,-6.0,0.5133333333333333,0.04,1.7841140060824252,0.8586290682109573,5.396103896103896,0.6916378326875201,0.0014874874035735294,0.15923653980835903
cued,0.25,-3.0,0.5033333333333333,0.03666666666666667,1.7991060779742227,0.8911975141828181,5.410596026490066,0.6753386309565758,0.02732108992231133,0.15398481313095544
cued,0.5,0.0,0.4166666666666667,0.06333333333333334,1.3169511232756625,0.8689039558857561,5.384,0.5049365766812601,0.28186069177575823,0.10908704508446439
cued,0.75,3.0,0.31333333333333335,0.06666666666666667,1.0146620714154369,0.9937549103363065,5.138297872340425,0.13075771766192473,0.8276266538524699,0.02123711738932343
cued,1.0,6.0,0.30333333333333334,0.07,0.9609536546795566,0.9953142008393923,5.0989010989010985,0.012820598708509767,0.9846015503514112,0.0013182911138056852
control,0.0,-6.0,0.42333333333333334,0.06666666666666667,1.3077127001514206,0.8472295959683146,5.354330708661418,0.5486267795204973,0.32733447507634994,0.0003527466834002742
control,0.25,-3.0,0.42333333333333334,0.06666666666666667,1.3077127001514206,0.8472295959683146,5.354330708661418,0.5462985151657085,0.32427369863545513,0.006973868639772339
control,0.5,0.0,0.4166666666666667,0.06333333333333334,1.3169511232756625,0.8689039558857561,5.384,0.5049365766812601,0.28186069177575823,0.10908704508446439
control,0.75,3.0,0.36333333333333334,0.07333333333333333,1.1018436013351576,0.9004848221397131,5.192660550458716,0.2634236725522775,0.13125412671738257,0.5688168463089581
control,1.0,6.0,0.34,0.07,1.063327898737766,0.9441270788102877,5.107843137254902,0.04226913129351336,0.0173021301347823,0.9370204847344819
