model,role,dose,condition,response_rate,mean_rt,dprime,criterion,achieved_change_mass_t5,achieved_change_mass_t6
vda16_crossattn1_seed1,change,0.0,valid,0.0,nan,0.0,2.879420782027084,0.00012519543815869838,0.02365630678832531
vda16_crossattn1_seed1,change,0.0,invalid,0.0,nan,0.0,2.879420782027084,0.00012519543815869838,0.02365630678832531
vda16_crossattn1_seed1,change,0.0,nochange,0.0,nan,,,0.00012519543815869838,0.02365630678832531
vda16_crossattn1_seed1,change,0.25,valid,0.0,nan,0.0,2.879420782027084,0.0025084512308239937,0.2231273651123047
vda16_crossattn1_seed1,change,0.25,invalid,0.0,nan,0.0,2.879420782027084,0.0025084512308239937,0.2231273651123047
vda16_crossattn1_seed1,change,0.25,nochange,0.0,nan,,,0.0025084512308239937,0.2231273651123047
vda16_crossattn1_seed1,change,0.5,valid,0.0,nan,0.0,2.879420782027084,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,change,0.5,invalid,0.0,nan,0.0,2.879420782027084,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,change,0.5,nochange,0.0,nan,,,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,change,0.75,valid,0.0,nan,0.0,2.879420782027084,0.5000343918800354,0.9645895957946777
vda16_crossattn1_seed1,change,0.75,invalid,0.0,nan,0.0,2.879420782027084,0.5000343918800354,0.9645895957946777
vda16_crossattn1_seed1,change,0.75,nochange,0.0,nan,,,0.5000343918800354,0.9645895957946777
vda16_crossattn1_seed1,change,1.0,valid,0.0,nan,0.0,2.879420782027084,0.9519698023796082,0.9979211091995239
vda16_crossattn1_seed1,change,1.0,invalid,0.0,nan,0.0,2.879420782027084,0.9519698023796082,0.9979211091995239
vda16_crossattn1_seed1,change,1.0,nochange,0.0,nan,,,0.9519698023796082,0.9979211091995239
vda16_crossattn1_seed1,cued,0.0,valid,0.0,nan,0.0,2.879420782027084,0.06327929347753525,0.7792080044746399
vda16_crossattn1_seed1,cued,0.0,invalid,0.0,nan,0.0,2.879420782027084,0.06327929347753525,0.7792080044746399
vda16_crossattn1_seed1,cued,0.0,nochange,0.0,nan,,,0.06327929347753525,0.7792080044746399
vda16_crossattn1_seed1,cued,0.25,valid,0.0,nan,0.0,2.879420782027084,0.062318310141563416,0.7742710113525391
vda16_crossattn1_seed1,cued,0.25,invalid,0.0,nan,0.0,2.879420782027084,0.062318310141563416,0.7742710113525391
vda16_crossattn1_seed1,cued,0.25,nochange,0.0,nan,,,0.062318310141563416,0.7742710113525391
vda16_crossattn1_seed1,cued,0.5,valid,0.0,nan,0.0,2.879420782027084,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,cued,0.5,invalid,0.0,nan,0.0,2.879420782027084,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,cued,0.5,nochange,0.0,nan,,,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,cued,0.75,valid,0.0,nan,0.0,2.879420782027084,0.008934938348829746,0.3959839642047882
vda16_crossattn1_seed1,cued,0.75,invalid,0.0,nan,0.0,2.879420782027084,0.008934938348829746,0.3959839642047882
vda16_crossattn1_seed1,cued,0.75,nochange,0.0,nan,,,0.008934938348829746,0.3959839642047882
vda16_crossattn1_seed1,cued,1.0,valid,0.0,nan,0.0,2.879420782027084,0.0005187076749280095,0.1248406320810318
vda16_crossattn1_seed1,cued,1.0,invalid,0.0,nan,0.0,2.879420782027084,0.0005187076749280095,0.1248406320810318
vda16_crossattn1_seed1,cued,1.0,nochange,0.0,nan,,,0.0005187076749280095,0.1248406320810318
vda16_crossattn1_seed1,control,0.0,valid,0.0,nan,0.0,2.879420782027084,0.050668299198150635,0.7049820423126221
vda16_crossattn1_seed1,control,0.0,invalid,0.0,nan,0.0,2.879420782027084,0.050668299198150635,0.7049820423126221
vda16_crossattn1_seed1,control,0.0,nochange,0.0,nan,,,0.050668299198150635,0.7049820423126221
vda16_crossattn1_seed1,control,0.25,valid,0.0,nan,0.0,2.879420782027084,0.05053596943616867,0.7046837210655212
vda16_crossattn1_seed1,control,0.25,invalid,0.0,nan,0.0,2.879420782027084,0.05053596943616867,0.7046837210655212
vda16_crossattn1_seed1,control,0.25,nochange,0.0,nan,,,0.05053596943616867,0.7046837210655212
vda16_crossattn1_seed1,control,0.5,valid,0.0,nan,0.0,2.879420782027084,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,control,0.5,invalid,0.0,nan,0.0,2.879420782027084,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,control,0.5,nochange,0.0,nan,,,0.048021506518125534,0.6987563371658325
vda16_crossattn1_seed1,control,0.75,valid,0.0,nan,0.0,2.879420782027084,0.02422495186328888,0.6058650612831116
vda16_crossattn1_seed1,control,0.75,invalid,0.0,nan,0.0,2.879420782027084,0.02422495186328888,0.6058650612831116
vda16_crossattn1_seed1,control,0.75,nochange,0.0,nan,,,0.02422495186328888,0.6058650612831116
vda16_crossattn1_seed1,control,1.0,valid,0.0,nan,0.0,2.879420782027084,0.002242269227281213,0.2657886743545532
vda16_crossattn1_seed1,control,1.0,invalid,0.0,nan,0.0,2.879420782027084,0.002242269227281213,0.2657886743545532
vda16_crossattn1_seed1,control,1.0,nochange,0.0,nan,,,0.002242269227281213,0.2657886743545532
