model,displayed_validity,magnitude,condition,response_count,response_rate,mean_rt,false_alarm_rate,dprime,criterion
vda_fixed9_crossattn1_seed0,0.25,0.0,valid,7,0.023333333333333334,6.0,0.02,0.06048694489568773,1.9916305435044683
vda_fixed9_crossattn1_seed0,0.25,0.0,invalid,5,0.016666666666666666,6.0,0.02,-0.06893875884481782,2.0563433953747214
vda_fixed9_crossattn1_seed0,0.25,3.0,valid,3,0.01,5.666666666666667,0.02,-0.2473317803326509,2.1455399061186378
vda_fixed9_crossattn1_seed0,0.25,3.0,invalid,8,0.02666666666666667,6.0,0.02,0.1145481701307749,1.9645999308869249
vda_fixed9_crossattn1_seed0,0.25,6.0,valid,8,0.02666666666666667,6.0,0.02,0.1145481701307749,1.9645999308869249
vda_fixed9_crossattn1_seed0,0.25,6.0,invalid,9,0.03,6.0,0.02,0.16354935331884546,1.9400993392928896
vda_fixed9_crossattn1_seed0,0.25,9.0,valid,31,0.10333333333333333,6.0,0.02,0.7663878461278828,1.638680092888371
vda_fixed9_crossattn1_seed0,0.25,9.0,invalid,17,0.056666666666666664,6.0,0.02,0.4512889873848931,1.7962295222598659
vda_fixed9_crossattn1_seed0,0.25,12.0,valid,57,0.19,6.0,0.02,1.1477666760591165,1.447990677922754
vda_fixed9_crossattn1_seed0,0.25,12.0,invalid,25,0.08333333333333333,5.96,0.02,0.6478531863588137,1.6979474227729054
vda_fixed9_crossattn1_seed0,0.25,15.0,valid,91,0.30333333333333334,6.0,0.02,1.5089056110258972,1.2674212104393638
vda_fixed9_crossattn1_seed0,0.25,15.0,invalid,40,0.13333333333333333,6.0,0.02,0.9167433859348142,1.5635023229849052
vda_fixed9_crossattn1_seed0,0.25,18.0,valid,150,0.5,6.0,0.02,2.0218740159523123,1.0109370079761562
vda_fixed9_crossattn1_seed0,0.25,18.0,invalid,74,0.24666666666666667,6.0,0.02,1.3395223509302756,1.3521128404871745
vda_fixed9_crossattn1_seed0,0.25,22.0,valid,203,0.6766666666666666,6.0,0.02,2.4786382280561012,0.7825549019242616
vda_fixed9_crossattn1_seed0,0.25,22.0,invalid,142,0.47333333333333333,6.0,0.02,1.9552033076768842,1.0442723621138703
vda_fixed9_crossattn1_seed0,0.25,26.0,valid,258,0.86,6.0,0.02,3.096835379804893,0.47345632604986576
vda_fixed9_crossattn1_seed0,0.25,26.0,invalid,210,0.7,6.0,0.02,2.5443644520952113,0.7496917899047066
vda_fixed9_crossattn1_seed0,0.25,30.0,valid,268,0.8933333333333333,6.0,0.02,3.2592518503711934,0.39224809076671563
vda_fixed9_crossattn1_seed0,0.25,30.0,invalid,260,0.8666666666666667,5.996153846153846,0.02,3.1270046459698104,0.4583716929674071
