model,role,dose,condition,response_rate,mean_rt,dprime,criterion,achieved_change_mass_t5,achieved_change_mass_t6
vda_fixed9_crossattn1_seed0,change,0.0,valid,0.892,6.0,3.2446257230185123,0.39345074155504034,0.00016705838788766414,0.025522883981466293
vda_fixed9_crossattn1_seed0,change,0.0,invalid,0.044,6.0,0.3289201944620581,1.8513035058332674,0.00016705838788766414,0.025522883981466293
vda_fixed9_crossattn1_seed0,change,0.0,nochange,0.02,6.0,,,0.00016705838788766414,0.025522883981466293
vda_fixed9_crossattn1_seed0,change,0.25,valid,0.892,6.0,3.2446257230185123,0.39345074155504034,0.0033303541131317616,0.20052026212215424
vda_fixed9_crossattn1_seed0,change,0.25,invalid,0.48,6.0,1.965810001292959,1.032858602417817,0.0033303541131317616,0.20052026212215424
vda_fixed9_crossattn1_seed0,change,0.25,nochange,0.02,6.0,,,0.0033303541131317616,0.20052026212215424
vda_fixed9_crossattn1_seed0,change,0.5,valid,0.896,6.0,3.0771998258517925,0.2882051547919898,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,change,0.5,invalid,0.876,6.0,2.974738571306279,0.33943578206474645,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,change,0.5,nochange,0.032,6.0,,,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,change,0.75,valid,0.8,5.995,2.4841478225994407,0.40471425947536405,0.4806886911392212,0.9455736875534058
vda_fixed9_crossattn1_seed0,change,0.75,invalid,0.984,6.0,3.74533833170641,-0.22588099507812054,0.4806886911392212,0.9455736875534058
vda_fixed9_crossattn1_seed0,change,0.75,nochange,0.048,6.0,,,0.4806886911392212,0.9455736875534058
vda_fixed9_crossattn1_seed0,change,1.0,valid,0.568,5.985915492957746,1.2624424098938785,0.4606257000300514,0.9360862970352173,0.9917508959770203
vda_fixed9_crossattn1_seed0,change,1.0,invalid,0.988,6.0,3.290698924665148,-0.5535025573555834,0.9360862970352173,0.9917508959770203
vda_fixed9_crossattn1_seed0,change,1.0,nochange,0.136,5.970588235294118,,,0.9360862970352173,0.9917508959770203
vda_fixed9_crossattn1_seed0,cued,0.0,valid,0.092,6.0,0.8800969095183615,1.7588035649289766,0.07206059247255325,0.6798669099807739
vda_fixed9_crossattn1_seed0,cued,0.0,invalid,0.896,6.0,3.4492467778220637,0.4742286307771255,0.07206059247255325,0.6798669099807739
vda_fixed9_crossattn1_seed0,cued,0.0,nochange,0.012,6.0,,,0.07206059247255325,0.6798669099807739
vda_fixed9_crossattn1_seed0,cued,0.25,valid,0.584,6.0,2.4101313348618807,0.993786352257217,0.07120220363140106,0.6771012544631958
vda_fixed9_crossattn1_seed0,cued,0.25,invalid,0.896,6.0,3.4492467778220637,0.4742286307771255,0.07120220363140106,0.6771012544631958
vda_fixed9_crossattn1_seed0,cued,0.25,nochange,0.012,6.0,,,0.07120220363140106,0.6771012544631958
vda_fixed9_crossattn1_seed0,cued,0.5,valid,0.896,6.0,3.0771998258517925,0.2882051547919898,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,cued,0.5,invalid,0.876,6.0,2.974738571306279,0.33943578206474645,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,cued,0.5,nochange,0.032,6.0,,,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,cued,0.75,valid,0.932,5.9957081545064375,3.254087967364719,0.14917268951916862,0.018987277522683144,0.4562976360321045
vda_fixed9_crossattn1_seed0,cued,0.75,invalid,0.708,5.994350282485875,2.3213564743711474,0.6155384360159545,0.018987277522683144,0.4562976360321045
vda_fixed9_crossattn1_seed0,cued,0.75,nochange,0.036,6.0,,,0.018987277522683144,0.4562976360321045
vda_fixed9_crossattn1_seed0,cued,1.0,valid,0.924,5.995670995670996,2.9291020107865284,0.043763300252936954,0.0015441178111359477,0.13680200278759003
vda_fixed9_crossattn1_seed0,cued,1.0,invalid,0.288,5.986111111111111,0.9515511247159709,1.0325387432882156,0.0015441178111359477,0.13680200278759003
vda_fixed9_crossattn1_seed0,cued,1.0,nochange,0.064,6.0,,,0.0015441178111359477,0.13680200278759003
vda_fixed9_crossattn1_seed0,control,0.0,valid,0.892,6.0,3.111415228605307,0.3268454943484379,0.06313018500804901,0.6574524641036987
vda_fixed9_crossattn1_seed0,control,0.0,invalid,0.88,6.0,3.0500050923854714,0.3575505624583558,0.06313018500804901,0.6574524641036987
vda_fixed9_crossattn1_seed0,control,0.0,nochange,0.028,6.0,,,0.06313018500804901,0.6574524641036987
vda_fixed9_crossattn1_seed0,control,0.25,valid,0.892,6.0,3.111415228605307,0.3268454943484379,0.06290405988693237,0.6568720936775208
vda_fixed9_crossattn1_seed0,control,0.25,invalid,0.88,6.0,3.0500050923854714,0.3575505624583558,0.06290405988693237,0.6568720936775208
vda_fixed9_crossattn1_seed0,control,0.25,nochange,0.028,6.0,,,0.06290405988693237,0.6568720936775208
vda_fixed9_crossattn1_seed0,control,0.5,valid,0.896,6.0,3.0771998258517925,0.2882051547919898,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,control,0.5,invalid,0.876,6.0,2.974738571306279,0.33943578206474645,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,control,0.5,nochange,0.032,6.0,,,0.059023063629865646,0.6454469561576843
vda_fixed9_crossattn1_seed0,control,0.75,valid,0.836,6.0,2.61953872906896,0.33701880624060454,0.03253868967294693,0.48473304510116577
vda_fixed9_crossattn1_seed0,control,0.75,invalid,0.768,6.0,2.3755694609092153,0.45900344032047685,0.03253868967294693,0.48473304510116577
vda_fixed9_crossattn1_seed0,control,0.75,nochange,0.048,6.0,,,0.03253868967294693,0.48473304510116577
vda_fixed9_crossattn1_seed0,control,1.0,valid,0.572,5.993006993006993,0.9095186851122182,0.2740219475780216,0.004241428337991238,0.13790032267570496
vda_fixed9_crossattn1_seed0,control,1.0,invalid,0.484,5.991735537190083,0.6888243931336757,0.3843690935672929,0.004241428337991238,0.13790032267570496
vda_fixed9_crossattn1_seed0,control,1.0,nochange,0.232,5.982758620689655,,,0.004241428337991238,0.13790032267570496
