label,feedback,grid,n_tokens,seed,condition,window,source,estimation_unit,source_total_share,target_conditional_total_mass,cue_conditional_total_mass,target_minus_cue_conditional_total_mass,target_conditional_peak_share,cue_conditional_peak_share,target_minus_cue_conditional_peak_share
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,valid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.34576334419703925,0.24692538060752883,0.24692538060752883,0.0,0.2313565893394846,0.2313565893394846,0.0
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,valid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.328418764789094,0.24573361537932753,0.24573361537932753,0.0,0.23907119161398419,0.23907119161398419,0.0
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,valid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.33709105449306664,0.24632949799342818,0.24632949799342818,0.0,0.2352138904767344,0.2352138904767344,0.0
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,invalid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.3455661435746151,0.24013030631126073,0.2470396994820817,-0.006909393170820982,0.2735687298881116,0.2306265634427334,0.04294216644537818
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,invalid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.3335784200315538,0.24526096305465414,0.2461336988650497,-0.0008727358103955696,0.25877262727102646,0.2387908213136878,0.019981805957338644
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,invalid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.33957228180308446,0.24269563468295743,0.2465866991735657,-0.003891064490608276,0.266170678579569,0.23470869237821063,0.03146198620135837
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,valid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.6542366550414589,0.3011923207964053,0.3011923207964053,0.0,0.3605082834842351,0.3605082834842351,0.0
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,valid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.6715812347142491,0.5153920625581905,0.5153920625581905,0.0,0.7410938594017951,0.7410938594017951,0.0
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,valid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.662908944877854,0.4082921916772979,0.4082921916772979,0.0,0.550801071443015,0.550801071443015,0.0
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,invalid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.6544338599577895,0.23384978837222486,0.30148222218262993,-0.06763243381040507,0.21649680216874226,0.3520116291569746,-0.13551482698823233
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,invalid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.6664215813437477,0.328723272329191,0.2705783188427531,0.058144953486437945,0.49025119575549453,0.2179429746166455,0.272308221138849
vda4_crossattn1_grid10x10_seed0,crossattn1,10x10,100,0,invalid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.6604277206507686,0.28128653035070794,0.2860302705126915,-0.004743740161983534,0.3533739989621184,0.28497730188681003,0.06839669707530838
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,valid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.10845701365054082,0.46835585445172984,0.46835585445172984,0.0,0.5693358195556852,0.5693358195556852,0.0
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,valid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.07083612515524353,0.4955850255617875,0.4955850255617875,0.0,0.5808887066919542,0.5808887066919542,0.0
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,valid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.08964656940289217,0.4819704400067587,0.4819704400067587,0.0,0.5751122631238197,0.5751122631238197,0.0
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,invalid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.11483487320528638,0.1774739959594016,0.4822777588120395,-0.3048037628526379,0.16676819964101097,0.5957106923722202,-0.4289424927312092
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,invalid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.09674557600155936,0.17033277265709176,0.4977927180459412,-0.3274599453888495,0.16758831859638712,0.6103015698904507,-0.4427132512940636
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,invalid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.10579022460342287,0.1739033843082467,0.4900352384289903,-0.3161318541207436,0.16717825911869905,0.6030061311313355,-0.43582787201263645
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,valid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.8915429833554661,0.5543408442973137,0.5543408442973137,0.0,0.7995132795291848,0.7995132795291848,0.0
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,valid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9291638804867399,0.7266947055560605,0.7266947055560605,0.0,0.8356503850541921,0.8356503850541921,0.0
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,valid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9103534319211031,0.640517774926687,0.640517774926687,0.0,0.8175818322916885,0.8175818322916885,0.0
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,invalid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.8851651313900948,0.15049062028860052,0.5456883816790308,-0.3951977613904303,0.09951046890069125,0.7393449361083262,-0.6398344672076349
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,invalid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9032544238842093,0.3215419583750937,0.42891116079987535,-0.10736920242478165,0.25592345307455483,0.6104469912250261,-0.3545235381504713
vda4_crossattn1_grid10x10_seed1,crossattn1,10x10,100,1,invalid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.894209777637152,0.2360162893318471,0.48729977123945306,-0.25128348190760597,0.17771696098762305,0.6748959636666761,-0.49717900267905313
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,valid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.10506211593747139,0.2530065396568951,0.2530065396568951,0.0,0.2530065396568951,0.2530065396568951,0.0
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,valid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.0032631836002110504,0.21119030647068554,0.21119030647068554,0.0,0.21119030647068554,0.21119030647068554,0.0
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,valid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.05416264976884122,0.23209842306379033,0.23209842306379033,0.0,0.23209842306379033,0.23209842306379033,0.0
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,invalid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.10658460017293692,0.22760083038792053,0.23511376180472285,-0.007512931416802315,0.22760083038792053,0.23511376180472285,-0.007512931416802315
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,invalid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.030462697613984346,0.26649935961956733,0.2322420102251447,0.034257349394422626,0.26649935961956733,0.2322420102251447,0.034257349394422626
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,invalid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.06852364889346063,0.24705009500374392,0.23367788601493378,0.013372208988810141,0.24705009500374392,0.23367788601493378,0.013372208988810141
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,valid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.8949378561228514,0.5361244308217098,0.5361244308217098,0.0,0.5361244308217098,0.5361244308217098,0.0
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,valid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9967367487261072,0.9923120958818537,0.9923120958818537,0.0,0.9923120958818537,0.9923120958818537,0.0
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,valid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9458373024244793,0.7642182633517818,0.7642182633517818,0.0,0.7642182633517818,0.7642182633517818,0.0
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,invalid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.8934154156595469,0.16342652026806392,0.5084192641144573,-0.34499274384639333,0.16342652026806392,0.5084192641144573,-0.34499274384639333
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,invalid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9695373033173382,0.8619781979433928,0.08728922099883692,0.7746889769445559,0.8619781979433928,0.08728922099883692,0.7746889769445559
vda4_crossattn1_grid2x2_seed0,crossattn1,2x2,4,0,invalid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9314763594884425,0.5127023591057284,0.2978542425566471,0.21484811654908126,0.5127023591057284,0.2978542425566471,0.21484811654908126
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,valid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.033171616261824965,0.2663499528714639,0.2663499528714639,0.0,0.2663499528714639,0.2663499528714639,0.0
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,valid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.000517540243890835,0.25828805432888663,0.25828805432888663,0.0,0.25828805432888663,0.25828805432888663,0.0
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,valid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.0168445782528579,0.26231900360017524,0.26231900360017524,0.0,0.26231900360017524,0.26231900360017524,0.0
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,invalid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.03584560635499656,0.2649894557010478,0.257771428375825,0.007218027325222809,0.2649894557010478,0.257771428375825,0.007218027325222809
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,invalid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.0037061250768601894,0.2699079658940376,0.2746798828045735,-0.004771916910535912,0.2699079658940376,0.2746798828045735,-0.004771916910535912
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,invalid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.019775865715928376,0.26744871079754273,0.2662256555901993,0.0012230552073434486,0.26744871079754273,0.2662256555901993,0.0012230552073434486
