feedback,model,grid,n_tokens,seed,displayed_validity,valid_threshold_deg,invalid_threshold_deg,threshold_cost_invalid_minus_valid_deg,normalized_response_auc_valid_minus_invalid,rt30_invalid_minus_valid_frames,valid_tl_region0_mass_frames5_6,invalid_br_region3_mass_frames5_6,explicit_natural_invalid_response_rate,explicit_uniform_invalid_response_rate,explicit_shuffle_invalid_response_rate,explicit_disable_invalid_response_rate,causal_dependence_natural_minus_disable_pp,source_manifest_sha256
crossattn1,Cross-attention,2x2,4,0,0.25,15.2307692308,15.6666666667,0.435897435897,0.0158333333333,0.0240419805637,0.748071316862,0.507052397996,0.944,0.856,0.868,0.82,12.4,044f9a5860ac5a400a461b5d7dc5bf8a9d58559cd2fe08d925df58185b90d3f7
crossattn1,Cross-attention,2x2,4,0,0.5,14.5423728814,16.125,1.58262711864,0.0560555555556,0.0611447811448,0.748071316862,0.507052397996,0.944,0.856,0.868,0.82,12.4,044f9a5860ac5a400a461b5d7dc5bf8a9d58559cd2fe08d925df58185b90d3f7
crossattn1,Cross-attention,2x2,4,0,0.75,12.375,19.3894736842,7.01447368421,0.193388888889,0.129826695044,0.748071316862,0.507052397996,0.944,0.856,0.868,0.82,12.4,044f9a5860ac5a400a461b5d7dc5bf8a9d58559cd2fe08d925df58185b90d3f7
crossattn1,Cross-attention,2x2,4,0,1,11.90625,19.0666666667,7.16041666667,0.218777777778,0.113912572425,0.748071316862,0.507052397996,0.944,0.856,0.868,0.82,12.4,044f9a5860ac5a400a461b5d7dc5bf8a9d58559cd2fe08d925df58185b90d3f7
crossattn1,Cross-attention,4x4,16,0,0.25,13.6,18.5454545455,4.94545454545,0.125444444444,0.168472222222,0.666579655372,0.352085630991,0.956,0.928,0.9,0.876,8,d06bd3f6916771644bbb808e8dfb21e39016aff5a280a4b11f93782c285f62d2
crossattn1,Cross-attention,4x4,16,0,0.5,13.1860465116,17.6440677966,4.45802128498,0.137888888889,0.180421198797,0.666579655372,0.352085630991,0.956,0.928,0.9,0.876,8,d06bd3f6916771644bbb808e8dfb21e39016aff5a280a4b11f93782c285f62d2
crossattn1,Cross-attention,4x4,16,0,0.75,13.8125,19.4382022472,5.62570224719,0.148388888889,0.197319587629,0.666579655372,0.352085630991,0.956,0.928,0.9,0.876,8,d06bd3f6916771644bbb808e8dfb21e39016aff5a280a4b11f93782c285f62d2
crossattn1,Cross-attention,4x4,16,0,1,13.602739726,19.2602739726,5.65753424658,0.170277777778,0.247910043565,0.666579655372,0.352085630991,0.956,0.928,0.9,0.876,8,d06bd3f6916771644bbb808e8dfb21e39016aff5a280a4b11f93782c285f62d2
crossattn1,Cross-attention,10x10,100,0,0.25,11.390625,15,3.609375,0.103166666667,0.04,0.35462998657,0.268451084732,0.976,0.956,0.936,0.964,1.2,c3ecaa670952864230f91859cebfa5c5cbaa607e934969ca589347a237d9a6eb
crossattn1,Cross-attention,10x10,100,0,0.5,11.0909090909,15.5172413793,4.4263322884,0.122777777778,0.0639730639731,0.35462998657,0.268451084732,0.976,0.956,0.936,0.964,1.2,c3ecaa670952864230f91859cebfa5c5cbaa607e934969ca589347a237d9a6eb
crossattn1,Cross-attention,10x10,100,0,0.75,11.1891891892,17.2,6.01081081081,0.166777777778,0.104774774775,0.35462998657,0.268451084732,0.976,0.956,0.936,0.964,1.2,c3ecaa670952864230f91859cebfa5c5cbaa607e934969ca589347a237d9a6eb
crossattn1,Cross-attention,10x10,100,0,1,11.4406779661,17.625,6.1843220339,0.197222222222,0.164141069397,0.35462998657,0.268451084732,0.976,0.956,0.936,0.964,1.2,c3ecaa670952864230f91859cebfa5c5cbaa607e934969ca589347a237d9a6eb
affine_ew,Affine EW,2x2,4,0,0.25,13.3815789474,13.9436619718,0.562083024463,0.0155,-0.0100334448161,0.736603431171,0.722627835115,0.992,0.432,0.1,0.608,38.4,0235d2de5f2e816287e2d9bdba851fbee0324d62eabc93d6677cc57ecce09d1a
affine_ew,Affine EW,2x2,4,0,0.5,12,14.4905660377,2.49056603774,0.0740555555556,0.046867335563,0.736603431171,0.722627835115,0.992,0.432,0.1,0.608,38.4,0235d2de5f2e816287e2d9bdba851fbee0324d62eabc93d6677cc57ecce09d1a
affine_ew,Affine EW,2x2,4,0,0.75,11.8915662651,15.4153846154,3.52381835032,0.0826111111111,0.0372638524812,0.736603431171,0.722627835115,0.992,0.432,0.1,0.608,38.4,0235d2de5f2e816287e2d9bdba851fbee0324d62eabc93d6677cc57ecce09d1a
affine_ew,Affine EW,2x2,4,0,1,12.375,15,2.625,0.0851111111111,0.0399442586399,0.736603431171,0.722627835115,0.992,0.432,0.1,0.608,38.4,0235d2de5f2e816287e2d9bdba851fbee0324d62eabc93d6677cc57ecce09d1a
affine_ew,Affine EW,4x4,16,0,0.25,12.5,13.5671641791,1.0671641791,0.0353333333333,0.0232664437012,0.905024192878,0.725837487378,0.996,0.492,0.348,0.016,98,02c989ddacc67c3d406fcb2aba1f97335cc7ac65ad553b3c710251398436d9d9
affine_ew,Affine EW,4x4,16,0,0.5,12.1052631579,14,1.89473684211,0.0646111111111,0.0301003344482,0.905024192878,0.725837487378,0.996,0.492,0.348,0.016,98,02c989ddacc67c3d406fcb2aba1f97335cc7ac65ad553b3c710251398436d9d9
affine_ew,Affine EW,4x4,16,0,0.75,12,14.320754717,2.32075471698,0.0642777777778,0.0437807606264,0.905024192878,0.725837487378,0.996,0.492,0.348,0.016,98,02c989ddacc67c3d406fcb2aba1f97335cc7ac65ad553b3c710251398436d9d9
affine_ew,Affine EW,4x4,16,0,1,12.4482758621,15.05,2.60172413793,0.0794444444444,0.0303131991051,0.905024192878,0.725837487378,0.996,0.492,0.348,0.016,98,02c989ddacc67c3d406fcb2aba1f97335cc7ac65ad553b3c710251398436d9d9
affine_ew,Affine EW,10x10,100,0,0.25,12.6923076923,14.5573770492,1.86506935687,0.0666666666667,0.0636454849498,0.652910283534,0.543171566271,0.992,0,0,0,99.2,a869859116807664e46ee6d4f0d6d5ced3be3ac9ddeddbd67f0c27839ac26ea7
affine_ew,Affine EW,10x10,100,0,0.5,12.2830188679,15.4285714286,3.14555256065,0.0858888888889,0.097427667168,0.652910283534,0.543171566271,0.992,0,0,0,99.2,a869859116807664e46ee6d4f0d6d5ced3be3ac9ddeddbd67f0c27839ac26ea7
affine_ew,Affine EW,10x10,100,0,0.75,12.8289473684,16.74,3.91105263158,0.111888888889,0.10518018018,0.652910283534,0.543171566271,0.992,0,0,0,99.2,a869859116807664e46ee6d4f0d6d5ced3be3ac9ddeddbd67f0c27839ac26ea7
affine_ew,Affine EW,10x10,100,0,1,12.8333333333,17.0735294118,4.24019607843,0.121611111111,0.135609689958,0.652910283534,0.543171566271,0.992,0,0,0,99.2,a869859116807664e46ee6d4f0d6d5ced3be3ac9ddeddbd67f0c27839ac26ea7
