model,role,dose,condition,response_rate,mean_rt,dprime,criterion,achieved_change_mass_t5,achieved_change_mass_t6
vda4_affine_ew_grid10x10_seed0,change,0.0,valid,1.0,5.024,4.6092245632990565,-0.5748085003775558,0.007873689755797386,0.04295112192630768
vda4_affine_ew_grid10x10_seed0,change,0.0,invalid,0.064,5.8125,0.22148947562577126,1.6190590434590868,0.007873689755797386,0.04295112192630768
vda4_affine_ew_grid10x10_seed0,change,0.0,nochange,0.04,5.6,,,0.007873689755797386,0.04295112192630768
vda4_affine_ew_grid10x10_seed0,change,0.25,valid,1.0,5.024,4.6092245632990565,-0.5748085003775558,0.08716657012701035,0.2204958200454712
vda4_affine_ew_grid10x10_seed0,change,0.25,invalid,0.668,5.820359281437126,2.162358013179513,0.648624774682216,0.08716657012701035,0.2204958200454712
vda4_affine_ew_grid10x10_seed0,change,0.25,nochange,0.04,5.6,,,0.08716657012701035,0.2204958200454712
vda4_affine_ew_grid10x10_seed0,change,0.5,valid,1.0,5.044,4.8951843850913805,-0.4318285894813938,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,change,0.5,invalid,0.992,5.17741935483871,4.34360892096044,-0.15604085741592377,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,change,0.5,nochange,0.02,5.4,,,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,change,0.75,valid,0.976,5.233606557377049,4.4584044275847265,0.2843505059237901,0.9472370743751526,0.9076167345046997
vda4_affine_ew_grid10x10_seed0,change,0.75,invalid,1.0,5.08,5.392973501743238,-0.18293403115546525,0.9472370743751526,0.9076167345046997
vda4_affine_ew_grid10x10_seed0,change,0.75,nochange,0.004,5.0,,,0.9472370743751526,0.9076167345046997
vda4_affine_ew_grid10x10_seed0,change,1.0,valid,0.304,5.973684210526316,1.8171461921300838,1.4192722218311018,0.9971479177474976,0.9941917061805725
vda4_affine_ew_grid10x10_seed0,change,1.0,invalid,1.0,5.068,5.207266099923228,-0.27578773206547025,0.9971479177474976,0.9941917061805725
vda4_affine_ew_grid10x10_seed0,change,1.0,nochange,0.008,5.5,,,0.9971479177474976,0.9941917061805725
vda4_affine_ew_grid10x10_seed0,cued,0.0,valid,0.064,5.875,1.371106476380883,2.1938675438366424,0.6496564745903015,0.6214876174926758
vda4_affine_ew_grid10x10_seed0,cued,0.0,invalid,0.996,5.128514056224899,5.3929735017432385,0.18293403115546503,0.6496564745903015,0.6214876174926758
vda4_affine_ew_grid10x10_seed0,cued,0.0,nochange,0.0,nan,,,0.6496564745903015,0.6214876174926758
vda4_affine_ew_grid10x10_seed0,cued,0.25,valid,0.932,5.622317596566524,4.357292076190275,0.7007747439319465,0.6419296264648438,0.615036129951477
vda4_affine_ew_grid10x10_seed0,cued,0.25,invalid,0.992,5.125,5.207266099923228,0.27578773206547,0.6419296264648438,0.615036129951477
vda4_affine_ew_grid10x10_seed0,cued,0.25,nochange,0.0,nan,,,0.6419296264648438,0.615036129951477
vda4_affine_ew_grid10x10_seed0,cued,0.5,valid,1.0,5.044,4.8951843850913805,-0.4318285894813938,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,cued,0.5,invalid,0.992,5.17741935483871,4.34360892096044,-0.15604085741592377,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,cued,0.5,nochange,0.02,5.4,,,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,cued,0.75,valid,1.0,5.004,4.300208487167412,-0.7293165384433781,0.170646533370018,0.33904120326042175
vda4_affine_ew_grid10x10_seed0,cued,0.75,invalid,0.872,5.591743119266055,2.549630530105514,0.14597244008757082,0.170646533370018,0.33904120326042175
vda4_affine_ew_grid10x10_seed0,cued,0.75,nochange,0.076,5.631578947368421,,,0.170646533370018,0.33904120326042175
