model,displayed_validity,magnitude,condition,response_count,response_rate,mean_rt,false_alarm_rate,dprime,criterion
vda4_crossattn1_grid2x2_seed1,0.25,0.0,valid,28,0.09333333333333334,5.392857142857143,0.10666666666666667,-0.07507090568158103,1.2749132872596716
vda4_crossattn1_grid2x2_seed1,0.25,0.0,invalid,26,0.08666666666666667,5.615384615384615,0.10666666666666667,-0.11554671967080954,1.2951511942542857
vda4_crossattn1_grid2x2_seed1,0.25,3.0,valid,30,0.1,5.5,0.10666666666666667,-0.0366379921072435,1.2556968304725027
vda4_crossattn1_grid2x2_seed1,0.25,3.0,invalid,33,0.11,5.484848484848484,0.10666666666666667,0.017711429935179712,1.2285221194512912
vda4_crossattn1_grid2x2_seed1,0.25,6.0,valid,67,0.22333333333333333,5.507462686567164,0.10666666666666667,0.4794680349537047,0.9976438169420287
vda4_crossattn1_grid2x2_seed1,0.25,6.0,invalid,51,0.17,5.431372549019608,0.10666666666666667,0.2875361290421512,1.0936097698978053
vda4_crossattn1_grid2x2_seed1,0.25,9.0,valid,99,0.33,5.353535353535354,0.10666666666666667,0.7990236709046481,0.837865998966557
vda4_crossattn1_grid2x2_seed1,0.25,9.0,invalid,83,0.27666666666666667,5.506024096385542,0.10666666666666667,0.646820823038027,0.9139674228998675
vda4_crossattn1_grid2x2_seed1,0.25,12.0,valid,159,0.53,5.352201257861635,0.10666666666666667,1.312397160101838,0.581179254367962
vda4_crossattn1_grid2x2_seed1,0.25,12.0,invalid,121,0.4033333333333333,5.586776859504132,0.10666666666666667,0.9934787394130905,0.7406384647123359
vda4_crossattn1_grid2x2_seed1,0.25,15.0,valid,208,0.6933333333333334,5.269230769230769,0.10666666666666667,1.7408704935557933,0.3669425876409844
vda4_crossattn1_grid2x2_seed1,0.25,15.0,invalid,176,0.5866666666666667,5.431818181818182,0.10666666666666667,1.4556173155073369,0.5095691766652126
vda4_crossattn1_grid2x2_seed1,0.25,18.0,valid,244,0.8133333333333334,5.241803278688525,0.10666666666666667,2.1237532128146928,0.17550122801153456
vda4_crossattn1_grid2x2_seed1,0.25,18.0,invalid,226,0.7533333333333333,5.402654867256637,0.10666666666666667,1.9197294994409178,0.27751308469842223
vda4_crossattn1_grid2x2_seed1,0.25,22.0,valid,283,0.9433333333333334,5.162544169611308,0.10666666666666667,2.8079628629863,-0.16660359707426908
vda4_crossattn1_grid2x2_seed1,0.25,22.0,invalid,278,0.9266666666666666,5.305755395683454,0.10666666666666667,2.6786717654579,-0.10195804831006894
vda4_crossattn1_grid2x2_seed1,0.25,26.0,valid,294,0.98,5.057823129251701,0.10666666666666667,3.2592518503711934,-0.39224809076671563
vda4_crossattn1_grid2x2_seed1,0.25,26.0,invalid,291,0.97,5.195876288659794,0.10666666666666667,3.0957024970523475,-0.3104734141072927
vda4_crossattn1_grid2x2_seed1,0.25,30.0,valid,300,1.0,5.016666666666667,0.10666666666666667,4.173609683236396,-0.8494270071993173
vda4_crossattn1_grid2x2_seed1,0.25,30.0,invalid,299,0.9966666666666667,5.05685618729097,0.10666666666666667,3.8143576373354877,-0.6698009842488628
vda4_crossattn1_grid2x2_seed1,0.5,0.0,valid,27,0.09,5.481481481481482,0.10333333333333333,-0.07692762212962334,1.2939499808892412
vda4_crossattn1_grid2x2_seed1,0.5,0.0,invalid,39,0.13,5.666666666666667,0.10333333333333333,0.13488689013525956,1.1880427247567997
vda4_crossattn1_grid2x2_seed1,0.5,3.0,valid,44,0.14666666666666667,5.431818181818182,0.10333333333333333,0.209746112525816,1.1506131135615214
vda4_crossattn1_grid2x2_seed1,0.5,3.0,invalid,32,0.10666666666666667,5.5625,0.10333333333333333,0.01810833540554846,1.2464320021216553
vda4_crossattn1_grid2x2_seed1,0.5,6.0,valid,70,0.23333333333333334,5.557142857142857,0.10333333333333333,0.530464176807197,0.9902540814208309
vda4_crossattn1_grid2x2_seed1,0.5,6.0,invalid,39,0.13,5.487179487179487,0.10333333333333333,0.13488689013525956,1.1880427247567997
vda4_crossattn1_grid2x2_seed1,0.5,9.0,valid,91,0.30333333333333334,5.461538461538462,0.10333333333333333,0.7425177648980144,0.8842272873754223
vda4_crossattn1_grid2x2_seed1,0.5,9.0,invalid,77,0.25666666666666665,5.51948051948052,0.10333333333333333,0.6043369494195614,0.9533176951146488
vda4_crossattn1_grid2x2_seed1,0.5,12.0,valid,173,0.5766666666666667,5.416184971098266,0.10333333333333333,1.448208952758931,0.531381693444964
vda4_crossattn1_grid2x2_seed1,0.5,12.0,invalid,124,0.41333333333333333,5.5,0.10333333333333333,1.0372466887359737,0.7368628254564427
vda4_crossattn1_grid2x2_seed1,0.5,15.0,valid,209,0.6966666666666667,5.29665071770335,0.10333333333333333,1.7684545747508444,0.37125888244900723
vda4_crossattn1_grid2x2_seed1,0.5,15.0,invalid,170,0.5666666666666667,5.452941176470588,0.10333333333333333,1.4228171430930803,0.5440775982778894
vda4_crossattn1_grid2x2_seed1,0.5,18.0,valid,262,0.8733333333333333,5.236641221374046,0.10333333333333333,2.39182698907982,0.059572675284519594
vda4_crossattn1_grid2x2_seed1,0.5,18.0,invalid,230,0.7666666666666667,5.356521739130435,0.10333333333333333,1.9805081628416619,0.2652320884035985
vda4_crossattn1_grid2x2_seed1,0.5,22.0,valid,292,0.9733333333333334,5.116438356164384,0.10333333333333333,3.162812015645967,-0.32591983799855395
vda4_crossattn1_grid2x2_seed1,0.5,22.0,invalid,270,0.9,5.270370370370371,0.10333333333333333,2.529501996350554,-0.00926482835084752
vda4_crossattn1_grid2x2_seed1,0.5,26.0,valid,297,0.99,5.057239057239057,0.10333333333333333,3.5246919661093923,-0.5068598132302666
vda4_crossattn1_grid2x2_seed1,0.5,26.0,invalid,295,0.9833333333333333,5.172881355932203,0.10333333333333333,3.3462989446215605,-0.41766330248635075
vda4_crossattn1_grid2x2_seed1,0.5,30.0,valid,299,0.9966666666666667,5.016722408026756,0.10333333333333333,3.832465972741036,-0.6607468165460886
vda4_crossattn1_grid2x2_seed1,0.5,30.0,invalid,299,0.9966666666666667,5.103678929765886,0.10333333333333333,3.832465972741036,-0.6607468165460886
vda4_crossattn1_grid2x2_seed1,0.75,0.0,valid,28,0.09333333333333334,5.392857142857143,0.08,0.08329825284920545,1.354097866525065
vda4_crossattn1_grid2x2_seed1,0.75,0.0,invalid,23,0.07666666666666666,5.608695652173913,0.08,-0.022405736402196785,1.4069498611507658
